gene	chromosome	tss
MORF4L2	chrX	102941746
ANKRD30A	chr10	37414785
PAX3	chr2	223163717
GSTT2	chr22	24322219
DEFB119	chr20	29978393
ACYP1	chr14	75536193
RUNX2	chr6	45296067
MRPL20-AS1	chr1	1334910
SLC5A2	chr16	31494444
LINC01770	chr1	1369953
TRIM26	chr6_mcf_hap5	1562952
BABAM1	chr19	17378185
CDC20B	chr5	54469005
TCF4	chr18	53257042
CD74	chr5	149792499
TEAD3	chr6	35464856
FTO	chr16	53737875
NUCB2	chr11	17298261
LOC105378586	chr1	1534813
STOML3	chr13	39564968
NAT10	chr11	34127176
CFLAR	chr2	201980827
PPP1R9A	chr7	94536949
PPP6R3	chr11	68228220
WDR18	chr19	984345
MMP23A	chr1	1631378
INTS14	chr15	65903469
NCK1	chr3	136581050
ACOD1	chr13	77522646
AMELX	chrX	11311533
UBE2E3	chr2	181845851
UBAP2	chr9	34048885
RAX	chr18	56940686
KCNIP3	chr2	96012406
TONSL	chr8	145669823
AGGF1	chr5	76326229
SPSB4	chr3	140770189
SPSB3	chr16	1831823
OR1K1	chr9	125562402
PTPRA	chr20	2854142
ATXN7L2	chr1	110026527
MCF2L	chr13	113656028
AGL	chr1	100316045
NLRP2	chr19	55477742
NAP1L2	chrX	72434687
TEAD1	chr11	12695968
NEK11	chr3	130745721
MAST4	chr5	65892221
MRAS	chr3	138067421
PUF60	chr8	144911485
SFRP2	chr4	154710235
HDAC9	chr7	18535885
LOC105378591	chr1	1981509
SPG21	chr15	65282252
MASP2	chr1	11107296
NAP1L1	chr12	76478465
DZIP1L	chr3	137832322
RAP2C	chrX	131353508
MOSPD1	chrX	134049287
LINC01611	chr6	85184647
UBAC2	chr13	99853108
TFDP1	chr13	114239068
HAUS1	chr18	43684351
ISYNA1	chr19	18548943
PRKCZ-AS1	chr1	2115314
HYAL3	chr3	50336836
OPRL1	chr20	62711435
SLF2	chr10	102672720
PTGFRN	chr1	117452538
FAAP20	chr1	2126214
NUDT8	chr11	67397408
CES3	chr16	66995169
SH2B2	chr7	101930159
TSC1	chr9	135820003
LOC100129534	chr1	2284100
MBD1	chr18	47807893
EPS15L1	chr19	16582823
SRSF11	chr1	70687063
C4A	chr6_cox_hap2	3459590
POLR2B	chr4	57845062
CNP	chr17	40118813
PLCH2	chr1	2398890
TNFRSF14-AS1	chr1	2488450
LOC100996583	chr1	2497974
TRPC4	chr13	38443909
ARNTL	chr11	13299274
MUC12	chr7	100612904
DIO1	chr1	54359860
SLC38A7	chr16	58718674
EIF3C	chr16	28415209
TLE4	chr9	82186688
MIR4251	chr1	3044539
AHSA1	chr14	77924436
LOC101928764	chr13	21872230
SURF4	chr9	136243037
MIR551A	chr1	3477354
PCDHGC5	chr5	140868808
COMMD9	chr11	36310974
ORMDL2	chr12	56211825
DDAH2	chr6_mann_hap4	3039966
OR2H2	chr6_dbb_hap3	859040
MYCT1	chr6	153019081
PRKACB	chr1	84630377
KRIT1	chr7	91875414
ZNF512	chr2	27805836
EPDR1	chr7	37960163
CDV3	chr3	133293278
SLC12A5	chr20	44657854
EPB41L2	chr6	131384462
FRMPD3	chrX	106765680
DIXDC1	chr11	111797868
RHOT2	chr16	718132
MGME1	chr20	17949586
LGMN	chr14	93214972
HACD2	chr3	123303900
PBX3	chr9	128509652
PLCZ1	chr12	18890946
KRTAP5-3	chr11	1629693
ZNF287	chr17	16472518
PPAN	chr19	10216899
LINC01134	chr1	3816968
LINC01346	chr1	4000672
LINC01345	chr1	4009040
LINC01777	chr1	4472111
LINC01646	chr1	4631547
MIR4689	chr1	5922801
TAAR8	chr6	132873823
RPLP0	chr12	120638914
PPP1R11	chr6_cox_hap2	1547075
C19orf33	chr19	38794891
DISP2	chr15	40650420
SCGB3A2	chr5	147258274
GPR101	chrX	136113833
SRSF10	chr1	24306817
SUN1	chr7	872113
STARD13	chr13	33780187
BRDT	chr1	92414928
ZC3H14	chr14	89029381
PRRC2A	chr6_cox_hap2	3098109
USPL1	chr13	31192057
FCGR3A	chr1	161520411
ZNF226	chr19	44669317
RUVBL1	chr3	127842655
RBMY1A1	chrY	23696765
KIF1A	chr2	241759636
TLCD3B	chr16	30041405
LOC102724450	chr1	6265840
HOPX	chr4	57547462
CT47A11	chrX	120071012
TUSC3	chr8	15397772
LRRC27	chr10	134145697
NAT14	chr19	55996555
CYSLTR2	chr13	49228065
PNPLA2	chr11	818914
MIR4252	chr1	6489956
PNMA6E	chrX	152666154
TSHZ3	chr19	31840342
CABP5	chr19	48547336
RSPH3	chr6	159421219
HDAC10	chr22	50689694
ARRB1	chr11	75062705
GJA10	chr6	90604188
PLA1A	chr3	119316732
DNMT3B	chr20	31350191
NRM	chr6_cox_hap2	2170834
C1orf159	chr1	1051469
PPP1R12B	chr1	202317830
AGER	chr6_cox_hap2	3622711
ATF3	chr1	212782103
ADAMTS9	chr3	64673676
AFP	chr4	74301938
NOTCH2NLC	chr1	145209160
BORCS6	chr17	8093498
ALKBH4	chr7	102105310
MON2	chr12	62860606
TET2	chr4	106067842
DNAJB12	chr10	74114677
NDUFS7	chr19	1383906
THOC6	chr16	3074036
SMUG1	chr12	54582778
RASD2	chr22	35935947
RHOJ	chr14	63671161
THAP3	chr1	6685210
MIR876	chr9	28863704
MIR543	chr14	101498324
CAMTA1-DT	chr1	6845040
PHF1	chr6	33378791
NUDT15	chr13	48611703
NEURL2	chr20	44519926
MDM4	chr1	204485507
SIL1	chr5	138534057
MOG	chr6	29624869
VRK2	chr2	58273777
STAMBP	chr2	74056038
TMEM167B	chr1	109633386
LYPLAL1	chr1	219347173
PMS1	chr2	190648811
KLK6	chr19	51472228
EML3	chr11	62380247
RAN	chr12	131356539
UBE2D3	chr4	103790050
MDFI	chr6	41606206
RNASE1	chr14	21271003
REV1	chr2	100106479
MAGI2	chr7	79082983
C11orf21	chr11	2324370
C4B_2	chr6_dbb_hap3	3268155
PXK	chr3	58318617
SETD9	chr5	56205423
RBMXL1	chr1	89458643
NANOGNB	chr12	7917812
EXOG	chr3	38537831
LDB2	chr4	16900268
MSANTD3	chr9	103189495
SEMA5B	chr3	122712120
CANX	chr5	179125930
CAMK2A	chr5	149669336
ESRRG	chr1	217262987
LINC01714	chr1	8268732
VGLL4	chr3	11762013
SUSD4	chr1	223537518
OR10J5	chr1	159505797
ITPR1	chr3	4535032
LETMD1	chr12	51442110
FAM122C	chrX	133941267
RERE-AS1	chr1	8484705
SNORD128	chr1	8554973
RCAN3	chr1	24834084
CEP83	chr12	94853643
MIR6728	chr1	8926649
ENO1-AS1	chr1	8938894
DYNLRB1	chr20	33104189
ISX	chr22	35462151
PPP4C	chr16	30087315
CELF3	chr1	151689279
LOC100128108	chr15	102287073
MIR34AHG	chr1	9242397
DLEU1	chr13	50656305
GANAB	chr11	62414085
SLC26A4-AS1	chr7	107302243
KCNMB3	chr3	178969645
LINC02606	chr1	9489055
CLTB	chr5	175843540
EML1	chr14	100259750
PIK3CD-AS1	chr1	9714644
PIK3CD-AS2	chr1	9747632
KHDC1	chr6	74020088
PRR7	chr5	176875326
CIDEB	chr14	24780641
LY86	chr6	6588953
MED7	chr5	156569786
MED27	chr9	134955254
WDR13	chrX	48455880
ASB6	chr9	132404430
BLOC1S2	chr10	102046135
MYADM	chr19	54371137
BEST1	chr11	61717823
STOML1	chr15	74284636
GSG1L	chr16	28075035
TAP2	chr6_mann_hap4	4263797
TMEM274P	chr1	10020845
MIR5697	chr1	10027439
NEDD9	chr6	11232901
TAPBPL	chr12	6561208
MICA	chr6_mann_hap4	2714924
CCR5	chr3	46411633
ZNF654	chr3	88108405
PCDH11Y	chrY	4924131
BUB1	chr2	111435640
ATG4A	chrX	107335008
TIMM9	chr14	58893960
TIMM8B	chr11	111957480
TIMM10	chr11	57298227
PSD4	chr2	113931548
ST6GAL2	chr2	107503325
TIAM2	chr6	155538100
ANTXR1	chr2	69240276
CTAG2	chrX	153881853
RNU6-1	chrX	140212321
RNU6-9	chrX	140212321
RNU6-7	chrX	140212321
RNU6-8	chrX	140212321
RNU6-2	chrX	140212321
CHN2-AS1	chr7	29248586
MUC12-AS1	chr7	100660889
WDR73	chr15	85197514
CDCA3	chr12	6961094
MAPKAPK5	chr12	112280032
CCDC138	chr2	109403206
ZYG11B	chr1	53192125
MANEA	chr6	96025411
UPF3A	chr13	115047076
TRPV1	chr17	3500336
HNRNPUL1	chr19	41770277
ADAMTS5	chr21	28339407
NCOA5	chr20	44718601
CCNC	chr6	100016690
HSPD1	chr2	198364998
QKI	chr6	163835750
EXOSC10-AS1	chr1	11160076
ANKRD50	chr4	125633887
SLC25A31	chr4	128651555
SYCP1	chr1	115397484
MTOR-AS1	chr1	11203955
KDM5C	chrX	53254389
TRAK1	chr3	42132849
UBE3A	chr15	25684171
LINC01647	chr1	11669588
NAV3	chr12	78224674
TCERG1	chr5	145826896
CA7	chr16	66878832
SMPD4	chr2	130939175
FBXO44	chr1	11714914
TMEM126B	chr11	85339617
BLNK	chr10	98031273
SEC23IP	chr10	121652242
DONSON	chr21	34960990
TPRKB	chr2	73964472
CARD8	chr19	48759169
PCF11	chr11	82868173
SF1	chr11	64546316
CLCN6	chr1	11866153
ASMTL	chrY	1521802
CTSS	chr1	150738254
NPPA-AS1	chr1	11900376
CRHR1	chr17_ctg5_hap1	1005843
RNU5E-1	chr1	11968211
ANKLE2	chr12	133338418
OPALIN	chr10	98119122
DTNB	chr2	25896516
DDX6	chr11	118661657
MIR6729	chr1	12089215
R3HCC1L	chr10	99894414
MIR7846	chr1	12227000
MIR4632	chr1	12251770
WDPCP	chr2	63815611
KLK10	chr19	51522965
C1QTNF9	chr13	24883718
MRPL1	chr4	78783984
BBX	chr3	107241809
ADPRM	chr17	10600911
ELAVL2	chr9	23850599
SNORA59B	chr17	19460873
SNORA59A	chr17	19460873
SSBP3	chr1	54872067
MIR6730	chr3	94309676
MSRA	chr8	9911802
NBEAL1	chr2	203879602
UQCR11	chr19	1605461
C2orf80	chr2	209054754
LRIG2	chr1	113615820
PRAMEF1	chr1	12851546
LINC01784	chr1	12883086
HLA-C	chr6	31239913
FLOT2	chr17	27224751
WNT11	chr11	75917546
CCDC112	chr5	114632351
CD14	chr5	140013286
ZEB1	chr10	31610130
GLB1L	chr2	220110166
PRAMEF36P	chr1	13194518
PRAMEF34P	chr1	13194518
ZNF562	chr19	9785776
RGR	chr10	86004809
ZNF207	chr17	30677157
FNDC3A	chr13	49684453
CREM	chr10	35416155
SCFD1	chr14	31091460
CACNA1G	chr17	48638076
STK3	chr8	99837916
OPRM1	chr6	154360546
FGL1	chr8	17753033
LSM14B	chr20	60697531
ZNF558	chr19	8932739
BOLA2B	chr16	30204987
KAZN-AS1	chr1	14746469
NTMT1	chr9	132388432
DBNL	chr7	44084301
TSSC4	chr11	2421980
TMEM51-AS1	chr1	15478960
SUMF1	chr3	4508953
COX7A2L	chr2	42588357
C1orf195	chr1	15498120
C1RL	chr12	7261810
PRMT7	chr16	68344922
PLXNC1	chr12	94656395
GDPD3	chr16	30124858
YJEFN3	chr19	19639720
FBXO11	chr2	48115858
RBMX	chrX	135962884
AGAP1	chr2	236402687
DNAJC16	chr1	15853343
CHRNA10	chr11	3692614
SCARNA21B	chr1	15868661
VPS53	chr17	618079
TRPM4	chr19	49661049
TMEM161A	chr19	19249287
SLC25A34-AS1	chr1	16076385
ARHGEF9	chrX	63005094
FLJ37453	chr1	16174642
ZNF41	chrX	47342668
ZBTB17	chr1	16302627
XPNPEP1	chr10	111683269
OR2L13	chr1	248100331
ESRP2	chr16	68270030
AIF1	chr6_ssto_hap7	2914575
TANGO2	chr22	20008631
TDRD5	chr1	179560967
C10orf90	chr10	128210062
CARS1	chr11	3078653
SDR16C5	chr8	57233335
NOL10	chr2	10830113
C1orf131	chr1	231376921
C1orf87	chr1	60539442
UBXN10	chr1	20512589
KLHDC7A	chr1	18807424
IMPDH1	chr7	128050036
CHD1L	chr1	146714334
A3GALT2	chr1	33786699
SPATA21	chr1	16763919
IZUMO1	chr19	49250166
ZSCAN1	chr19	58545393
NECAP2	chr1	16767219
LCORL	chr4	18023498
LINC01772	chr1	16788302
CROCCP3	chr1	16819196
RNVU1-18	chr14	35025595
RNU1-3	chr14	35025595
RNU1-4	chr14	35025595
RNU1-2	chr14	35025595
RNU1-1	chr14	35025595
LOC440570	chr1	17197440
LINC01783	chr1	16862147
MIR3675	chr1	17185516
STK36	chr2	219537041
FAM8A1	chr6	17600533
CROCCP2	chr1	16957401
MST1P2	chr1	16972069
ESPNP	chr1	17046652
SAP130	chr2	128785633
LOC102724562	chr1	17086552
LOC105376805	chr1	17216161
RBM41	chrX	106362052
ITPA	chr20	3190144
ACBD5	chr10	27529808
ZSWIM8	chr10	75545364
ST18	chr8	53322439
EIF1AX	chrX	20159956
ECH1	chr19	39322434
CLASP2	chr3	33759746
ATP5F1E	chr20	57607390
SHOX2	chr3	157824209
SHOX	chrY	535079
CSRP2	chr12	77272799
KANK1	chr9	504555
ASPSCR1	chr17	79935505
SNORD73B	chr4	152023209
KCNN2	chr5	113391675
MIR3972	chr1	17604384
CADM3	chr1	159141405
IFT122	chr3	129159067
PAQR8	chr6	52226949
LINC02570	chr6	30815936
GINS1	chr20	25388309
LMLN	chr3	197687071
POGLUT1	chr3	119187810
ARHGEF10L	chr1	17866193
LINC01654	chr1	18392151
OR52A1	chr11	5173599
TMEM30A	chr6	75994508
CCDC25	chr8	27630157
MTX1	chr1	155178490
CTNNAL1	chr9	111775779
TNFSF14	chr19	6670171
URI1	chr19	30414564
LACC1	chr13	44454040
MIR4695	chr1	19209769
POLR1B	chr2	113300042
RPL13A	chr19	49990811
RGS17	chr6	153452417
RNF157	chr17	74236574
RAPGEF2	chr4	160149635
NUP62	chr19	50432761
EMC1-AS1	chr1	19536880
TIAM1	chr21	32931400
RIMS2	chr8	104512838
AKR7L	chr1	19600616
LOC100506730	chr1	19622230
VPS26B	chr11	134094565
CCNY	chr10	35625437
TMEM252	chr9	71155799
GIMAP7	chr7	150211960
ZEB1-AS1	chr10	31608024
LOC105378614	chr1	19923326
MICOS10	chr1	19923473
POMC	chr2	25391720
PON3	chr7	95025687
NEK10	chr3	27258014
CD53	chr1	111413821
RPS14P3	chr1	19934301
GPANK1	chr6_qbl_hap6	2927050
PARD3B	chr2	205410198
MROH8	chr20	35807951
PPP2R2B	chr5	146258320
TMCO4	chr1	20126409
SURF1	chr9	136223361
TPSAB1	chr16	1290706
DYNC1I2	chr2	172543979
TMEM45B	chr11	129685676
SRPK2	chr7	104909524
MYO1A	chr12	57443913
UBXN10-AS1	chr1	20512979
LINC01757	chr1	20569588
OSBPL9	chr1	52082764
ANKLE1	chr19	17392710
LINC01141	chr1	20755287
CASP3	chr4	185570629
IL17RC	chr3	9958782
MIR6084	chr1	20960172
PINK1-AS	chr1	20978686
SLC25A5	chrX	118602407
SLC25A4	chr4	186064420
ANK2	chr4	113739153
SPN	chr16	29674568
RANGAP1	chr22	41698373
TLE1	chr9	84304462
DPYS	chr8	105479283
IL18R1	chr2	102972256
ZFP36L1	chr14	69259784
EFR3A	chr8	132916340
GSDMB	chr17	38073793
GPBP1	chr5	56471275
SLC28A1	chr15	85427893
FCAMR	chr1	207143805
THOC2	chrX	122866902
MIR1256	chr1	21314925
DGKB	chr7	14942376
RGMA	chr15	93632440
CCT7	chr2	73461364
NTRK3	chr15	88799410
ABHD6	chr3	58223229
KLHL38	chr8	124666041
TIMM17A	chr1	201924631
IFI30	chr19	18284623
SPATA18	chr4	52917470
MEF2C	chr5	88179001
FXYD1	chr19	35630326
SHOC2	chr10	112679301
EMID1	chr22	29601885
PBK	chr8	27695334
SURF6	chr9	136203025
BSDC1	chr1	32860042
XRN2	chr20	21284136
DFFB	chr1	3774040
KANSL1	chr17_ctg5_hap1	596066
GYG2	chrX	2746971
GEMIN5	chr5	154317771
LSM4	chr19	18433886
UTY	chrY	15592550
ARHGAP28	chr18	6729715
PPFIA2	chr12	82153129
ARPC1A	chr7	98923521
TIA1	chr2	70475760
EIF4H	chr7	73588686
UBE2C	chr20	44441283
ITFG2	chr12	2921834
IFT88	chr13	21141296
HERC3	chr4	89513631
B4GALT3	chr1	161147758
PTPRF	chr1	43991708
CASP12	chr11	104769397
CPZ	chr4	8594492
TCF3	chr19	1652614
NEU1	chr6_apd_hap1	3145353
GCM1	chr6	53013639
BCAS1	chr20	52687133
DCTD	chr4	183838406
FTL	chr19	49468566
PHLDA2	chr11	2950650
GLMN	chr1	92764566
LINC01635	chr1	22352541
PAX6	chr11	31834268
SENP1	chr12	48499638
FDPS	chr1	155278657
MIR4418	chr1	22592732
SNRPN	chr15	25068755
SLC25A45	chr11	65150117
PLEKHO1	chr1	150122776
PTEN	chr10	89623382
ZBTB40	chr1	22778344
ZNF25	chr10	38265575
MIR6127	chr1	22959859
PDE4D	chr5	59783892
ARHGAP9	chr12	57871650
MATK	chr19	3786379
CALD1	chr7	134464385
WDFY2	chr13	52158598
SLC24A4	chr14	92789509
CYSLTR1	chrX	77583188
OLFML2B	chr1	161994255
RNF19A	chr8	101322181
MIR4684	chr1	23046010
MIR4253	chr1	23189719
RD3L	chr14	104408866
DPY19L3	chr19	32897031
LTB4R	chr14	24782313
MAPK8	chr10	49514682
CYFIP1	chr15	22892700
HMBOX1	chr8	28747912
MIR3115	chr1	23370798
THAP12	chr11	76092009
PPP2R2C	chr4	6474341
SLC19A1	chr21	46962354
ST7	chr7	116660272
RSPH10B	chr7	6010314
ZNF436-AS1	chr1	23695711
SLC44A1	chr9	108006886
NDRG2	chr14	21493264
PSME3IP1	chr16	57219951
KNG1	chr3	186435148
BCL2L11	chr2	111878491
ZNF430	chr19	21203463
ZC3H11A	chr1	203764751
LOC101928163	chr1	23848422
RIMS1	chr6	72922596
MICU1	chr10	74283744
RNF215	chr22	30783400
USP17L12	chr4	9264598
ELOA-AS1	chr1	24104787
SBF1	chr22	50913464
TAP1	chr6_dbb_hap3	4103126
AKAP1	chr17	55163265
MIR378F	chr1	24255560
TPRA1	chr3	127309576
TSPY4	chrY	9195452
RBM4	chr11	66406088
MMP23B	chr1	1567552
NUDT6	chr4	123844123
ZFP28	chr19	57050317
SMS	chrX	21958691
TNXB	chr6_ssto_hap7	3368931
EFHB	chr3	19988475
KLHL23	chr2	170590342
WNT5B	chr12	1738397
SLC6A15	chr12	85306608
GIT1	chr17	27916666
FAM114A2	chr5	153418470
LCE3A	chr1	152595579
STPG1	chr1	24740272
DLG2	chr11	84634465
NIPAL3	chr1	24739977
VEPH1	chr3	157213295
NFASC	chr1	204797782
ZNRD1	chr6_ssto_hap7	1359485
RCAN3AS	chr1	24828872
PTPRN	chr2	220174123
PCYT2	chr17	79869275
ZDHHC15	chrX	74742872
SP110	chr2	231084699
NRG2	chr5	139422884
MIR4436B1	chr2	111042430
ZNF277	chr7	111846750
AK7	chr14	96858465
RBL2	chr16	53468383
DNAH14	chr1	225117377
CAMK2D	chr4	114682894
ACIN1	chr14	23564823
KDM6A	chrX	44732434
COA1	chr7	43769140
LOC100505841	chr5	121495871
AKAP17A	chrX	1710497
RDH13	chr19	55580888
SH2B3	chr12	111843727
GLRB	chr4	157997277
TCF12	chr15	57210842
BZW1	chr2	201676269
TOP3B	chr22	22337184
TBC1D3D	chr17	36284017
SUGP2	chr19	19144326
TMTC4	chr13	101327049
CT45A8	chrX	134866214
EXOC6B	chr2	73053162
RABEP1	chr17	5185579
TTC26	chr7	138818490
ABCC6	chr16	16317328
SLC26A5	chr7	103086654
KCNJ16	chr17	68071366
ZNF2	chr2	95831554
NPHP4	chr1	6052485
MTRR	chr5	7869261
TCP11	chr6	35109116
FAM92A	chr8	94712778
COMMD4P1	chr15	78236903
TBILA	chr3	111852270
SH2D4A	chr8	19171487
TOM1	chr22	35695268
UBXN2B	chr8	59323823
TIMM23B-AGAP6	chr10	51371399
SLC25A39	chr17	42402191
DYNLT1	chr6	159065775
ZNF385B	chr2	180726339
MIR6731	chr1	25245907
MIR4425	chr1	25349994
GLUD1	chr10	88854600
NEPRO	chr3	112738518
RSRP1	chr1	25573945
CELF4	chr18	35145761
IRAK4	chr12	44152747
PTK2	chr8	142011381
ARIH2	chr3	48956275
C15orf41	chr15	36871827
NXPE3	chr3	101498508
LEP	chr7	127881331
RGS22	chr8	101118277
TDRKH	chr1	151763010
CAMSAP3	chr19	7660749
MTFR1L	chr1	26146445
LOC646471	chr1	26150097
RNF39	chr6_cox_hap2	1555728
RASSF5	chr1	206680864
ODF2	chr9	131218711
MAPK8IP2	chr22	51039222
NOP9	chr14	24769056
ZNF419	chr19	57999118
MIR3917	chr1	26232945
QRICH1	chr3	49131806
RPUSD2	chr15	40861492
C1orf232	chr1	26495073
PREPL	chr2	44588633
KIAA1211L	chr2	99552688
GATC	chr12	120884247
NBAS	chr2	15701458
SQLE	chr8	126010747
FKBP2	chr11	64008567
FBXL20	chr17	37558809
TFPI	chr2	188419162
RCE1	chr11	66610912
IYD	chr6	150690148
DUOXA1	chr15	45422077
MAPK9	chr5	179719083
ITGA6	chr2	173292064
PEBP4	chr8	22785427
TBC1D2	chr9	100975833
EMC4	chr15	34517217
CD36	chr7	80231523
KLHL24	chr3	183353411
UQCRH	chr1	46769370
LOC101928728	chr1	27020622
GATA4	chr8	11561711
EGLN3	chr14	34420280
STARD10	chr11	72504750
RPL26L1	chr5	172386463
TRIM17	chr1	228604583
LIMK2	chr22	31644370
KRTAP1-3	chr17	39191126
SPRY4	chr5	141703812
SPACA1	chr6	88757559
ADAMTS10	chr19	8657080
SNTG2	chr2	946535
FRA10AC1	chr10	95462716
ARFRP1	chr20	62339365
MICAL1	chr6	109777190
CSPP1	chr8	67976627
ACTG1P20	chr1	27650365
ZNF383	chr19	37709116
CCL20	chr2	228678558
SCO1	chr17	10600850
CCL16	chr17	34308533
RPS6KA3	chrX	20285027
SMN2	chr5	70220914
ABCD3	chr1	94883945
SLC1A4	chr2	65215613
ST3GAL4	chr11	126225581
PRKRA	chr2	179315484
AKR7A2	chr1	19638640
OR2D2	chr11	6913731
CASK	chrX	41782287
LINC02574	chr1	27989233
CHRAC1	chr8	141522095
TSBP1	chr6_qbl_hap6	3600548
LCMT1	chr16	25123063
SAMD14	chr17	48207524
SCARNA1	chr1	28160912
SULT1A4	chr16	30210549
MRPS18A	chr6	43655549
SLC13A3	chr20	45313124
DOCK9	chr13	99738948
DGKZ	chr11	46354476
FRMD6	chr14	52184001
KANSL3	chr2	97304049
USP19	chr3	49158371
SMOC2	chr6	168841864
ELOVL1	chr1	43833409
CIAO2B	chr16	66968305
CCNDBP1	chr15	43477601
MYRIP	chr3	39850405
SLC39A11	chr17	71088827
GAB4	chr22	17489112
ZNF587B	chr19	58341667
SLC35G2	chr3	136537861
ARHGAP12	chr10	32217804
PFKP	chr10	3146801
PIK3CD	chr1	9711789
TREH	chr11	118550359
ZC3H7B	chr22	41697529
RIC8B	chr12	107168460
ASCC2	chr22	30234263
SNORA73A	chr1	28833877
SNORA73B	chr1	28835070
OR2B3	chr6_mann_hap4	358491
CHPF2	chr7	150929575
OR1L4	chr9	125486269
CFDP1	chr16	75467401
CDIPT	chr16	29874547
TRNAU1AP	chr1	28879597
ATP5MC2	chr12	54069867
IP6K2	chr3	48754711
MIR3195	chr20	60639858
LIMS4	chr2	110656009
SNORA61	chr1	28906405
SNORA44	chr1	28907024
SNORA16A	chr1	28907565
CCT4	chr2	62115791
COL21A1	chr6	56112378
LINC01715	chr1	28969768
RNU11	chr1	28975112
TMEM212	chr3	171561139
PTAFR	chr1	28520367
DDR1	chr6_mcf_hap5	2233818
RPS6KB1	chr17	57970482
TRAP1	chr16	3767525
MAPT	chr17	43971748
MAPK15	chr8	144798519
SPPL3	chr12	121342161
PDE1C	chr7	32111048
JDP2	chr14	75894427
MADD	chr11	47292688
USP48	chr1	22109692
SLFN11	chr17	33700640
C21orf62	chr21	34186013
GCC1	chr7	127225650
LRFN3	chr19	36427276
LMNA	chr1	156095908
ALDH1A2	chr15	58357909
YTHDC1	chr4	69215808
SDHD	chr11	111957597
BAG6	chr6_mann_hap4	2963366
ERAP2	chr5	96212204
TGFB2	chr1	218518678
FAM163A	chr1	179699323
EMC2	chr8	109455812
AGBL5	chr2	27274536
TXNDC11	chr16	11836713
ANKRD33	chr12	52281887
IL22	chr12	68647384
LINC01756	chr1	29676626
LINC01648	chr1	30510459
TMEM159	chr16	21169995
MATN1-AS1	chr1	31191619
AURKA	chr20	54967271
MIR4420	chr1	31212079
LINC01778	chr1	31297499
KATNAL2	chr18	44526760
ZNF665	chr19	53696611
VMP1	chr17	57785015
BRD4	chr19	15391262
SNORD103A	chr1	31422052
SNORD103B	chr1	31422052
SNORD103C	chr1	31441084
C4orf50	chr4	6020273
ABCA6	chr17	67138036
CCPG1	chr15	55700557
CYB561D2	chr3	50388293
PEX2	chr8	77913280
TSHB	chr1	115576567
ESPN	chr1	6484836
NRIP2	chr12	2944201
IFT81	chr12	110562162
FERMT3	chr11	63974152
ZNF443	chr19	12551835
ATP2C1	chr3	130613394
RNASE4	chr14	21152719
LINC01226	chr1	31984036
ATXN1	chr6	16761691
IL12RB2	chr1	67773047
VDR	chr12	48298777
PDE6H	chr12	15125976
SPSB1	chr1	9352953
LRRTM4	chr2	77749559
PGGHG	chr11	289126
PTPRE	chr10	129705367
HSD17B7	chr1	162760492
ZKSCAN4	chr6	28220047
PTCH1	chr9	98271548
MIR4254	chr1	32224336
PABPC4	chr1	40042462
SPOCD1	chr1	32281652
FBXO32	chr8	124544383
ZNF488	chr10	48355069
NIT2	chr3	100053601
FAM47A	chrX	34150447
