Sample_id	MS_run	Sample_condition	internal_ref
TB110-1	Cervical5	Tumor_tissue	No
NB110-2	Cervical5	Tumor_adjacent_tissue	No
TB138-1	Cervical5	Tumor_tissue	No
NB138-2	Cervical5	Tumor_adjacent_tissue	No
TN12	Cervical5	Tumor_tissue	No
MIX6	Cervical6	Internal_reference	Yes
TB99-1	Cervical6	Tumor_tissue	No
TB81	Cervical6	Tumor_tissue	No
TB89-1	Cervical6	Tumor_tissue	No
NB89-2	Cervical6	Tumor_adjacent_tissue	No
TB113-1	Cervical6	Tumor_tissue	No
NB113-2	Cervical6	Tumor_adjacent_tissue	No
TB146	Cervical6	Tumor_tissue	No
TB153	Cervical6	Tumor_tissue	No
TB61	Cervical6	Tumor_tissue	No
TB96-1	Cervical6	Tumor_tissue	No
NB96-2	Cervical6	Tumor_adjacent_tissue	No
NB142-2	Cervical6	Tumor_adjacent_tissue	No
TB117	Cervical6	Tumor_tissue	No
MIX7	Cervical7	Internal_reference	Yes
TB72	Cervical7	Tumor_tissue	No
NB112-2	Cervical7	Tumor_adjacent_tissue	No
TB149	Cervical7	Tumor_tissue	No
TB130	Cervical7	Tumor_tissue	No
TB43	Cervical7	Tumor_tissue	No
TB45	Cervical7	Tumor_tissue	No
TB90-1	Cervical7	Tumor_tissue	No
NB90-2	Cervical7	Tumor_adjacent_tissue	No
TB86-1	Cervical7	Tumor_tissue	No
NB86-2	Cervical7	Tumor_adjacent_tissue	No
TB155	Cervical7	Tumor_tissue	No
TB108-1	Cervical7	Tumor_tissue	No
NB108-2	Cervical7	Tumor_adjacent_tissue	No
TB152	Cervical7	Tumor_tissue	No
MIX8	Cervical8	Internal_reference	Yes
TB3	Cervical8	Tumor_tissue	No
TB109-1	Cervical8	Tumor_tissue	No
NB109-2	Cervical8	Tumor_adjacent_tissue	No
TB64	Cervical8	Tumor_tissue	No
TB123	Cervical8	Tumor_tissue	No
TB158	Cervical8	Tumor_tissue	No
TB94-1	Cervical8	Tumor_tissue	No
NB94-2	Cervical8	Tumor_adjacent_tissue	No
TB23	Cervical8	Tumor_tissue	No
TB93-1	Cervical8	Tumor_tissue	No
NB93-2	Cervical8	Tumor_adjacent_tissue	No
TB58	Cervical8	Tumor_tissue	No
TB135	Cervical8	Tumor_tissue	No
TB150	Cervical8	Tumor_tissue	No
TB75	Cervical8	Tumor_tissue	No
MIX9	Cervical9	Internal_reference	Yes
TB26	Cervical9	Tumor_tissue	No
TB103-1	Cervical9	Tumor_tissue	No
NB103-2	Cervical9	Tumor_adjacent_tissue	No
TB27	Cervical9	Tumor_tissue	No
TB111-1	Cervical9	Tumor_tissue	No
NB111-2	Cervical9	Tumor_adjacent_tissue	No
TN27	Cervical9	Tumor_tissue	No
TB116	Cervical9	Tumor_tissue	No
TB162	Cervical9	Tumor_tissue	No
TB114-1	Cervical9	Tumor_tissue	No
TN9	Cervical9	Tumor_tissue	No
TB134	Cervical9	Tumor_tissue	No
TB97-1	Cervical9	Tumor_tissue	No
NB97-2	Cervical9	Tumor_adjacent_tissue	No
MIX10	Cervical10	Internal_reference	Yes
TB144	Cervical10	Tumor_tissue	No
TB8	Cervical10	Tumor_tissue	No
TB48	Cervical10	Tumor_tissue	No
TB50	Cervical10	Tumor_tissue	No
TB143	Cervical10	Tumor_tissue	No
TB107-1	Cervical10	Tumor_tissue	No
NB107-2	Cervical10	Tumor_adjacent_tissue	No
TN34-1	Cervical10	Tumor_tissue	No
NN34-2	Cervical10	Tumor_adjacent_tissue	No
TB65	Cervical10	Tumor_tissue	No
TB91-1	Cervical10	Tumor_tissue	No
NB91-2	Cervical10	Tumor_adjacent_tissue	No
TB36	Cervical10	Tumor_tissue	No
TB98-1	Cervical10	Tumor_tissue	No
MIX11	Cervical11	Internal_reference	Yes
TB17	Cervical11	Tumor_tissue	No
TN7	Cervical11	Tumor_tissue	No
TB154	Cervical11	Tumor_tissue	No
TB101-1	Cervical11	Tumor_tissue	No
NB101-2	Cervical11	Tumor_adjacent_tissue	No
TB60	Cervical11	Tumor_tissue	No
TB119	Cervical11	Tumor_tissue	No
TB87-1	Cervical11	Tumor_tissue	No
TB121	Cervical11	Tumor_tissue	No
TB6	Cervical11	Tumor_tissue	No
NB139-2	Cervical11	Tumor_adjacent_tissue	No
TB2	Cervical11	Tumor_tissue	No
TB151	Cervical11	Tumor_tissue	No
MIX12	Cervical12	Internal_reference	Yes
TB118	Cervical12	Tumor_tissue	No
TB51	Cervical12	Tumor_tissue	No
TB161	Cervical12	Tumor_tissue	No
TB95-1	Cervical12	Tumor_tissue	No
NB95-2	Cervical12	Tumor_adjacent_tissue	No
TN21	Cervical12	Tumor_tissue	No
TB125	Cervical12	Tumor_tissue	No
TN24	Cervical12	Tumor_tissue	No
TN32	Cervical12	Tumor_tissue	No
TB120	Cervical12	Tumor_tissue	No
TB140-1	Cervical12	Tumor_tissue	No
NB140-2	Cervical12	Tumor_adjacent_tissue	No
TB37	Cervical12	Tumor_tissue	No
TB55	Cervical12	Tumor_tissue	No
TB77	Cervical12	Tumor_tissue	No
