covariate	log(HR)	log(HR) lower 95%	log(HR) upper 95%	pvalue	BH-corrected pvalue	prognostic association
ALDH8A1	-0.18957522203896987	-0.33007568610421506	-0.04907475797372468	0.00817994393594439	0.07891706687339453	not prognostic
EPS8L3	0.09581141270607137	-0.01003455840402652	0.20165738381616927	0.0760378913103478	0.2690779608306498	not prognostic
HLA-DRB4	0.04525591457935203	-0.030812275583250906	0.12132410474195497	0.24359077840555787	0.5111010637602437	not prognostic
EPX	0.09206876112564105	-0.04150212167612491	0.225639643927407	0.17670216404082306	0.4302459816854743	not prognostic
ALDH3A1	-0.015132088025168404	-0.08723160773250707	0.05696743168217026	0.6808137748493042	0.8478683719885687	not prognostic
ALDH1A2	0.02790562367127915	-0.055457218764546345	0.11126846610710464	0.5117624359730237	0.7379302768990951	not prognostic
HLA-DRB3	-0.08005914422898214	-0.17298101308695807	0.01286272462899378	0.09128543841681262	0.2979506125212262	not prognostic
HLA-DRB1	-0.0070061613964701565	-0.08911681803147004	0.07510449523852972	0.8671846829213126	0.9408512440856169	not prognostic
DEFA3	0.10647597620502892	0.030403838550978876	0.182548113859079	0.006082415434301	0.0674793870920655	not prognostic
HLA-DRB5	0.011323081882930085	-0.06776764887107242	0.0904138126369326	0.7790174717394343	0.896125327570751	not prognostic
PGAM2	0.04035123846251336	-0.01854654187317719	0.09924901879820391	0.17934205194857059	0.43395929489068985	not prognostic
HAO2	-0.14211276558072564	-0.2742021755778539	-0.010023355583597349	0.03497116265468864	0.17269543256890643	not prognostic
CYP8B1	-0.24585722140935296	-0.3764385752755865	-0.11527586754311941	0.00022407789512811702	0.014329781393443083	favorable
PLIN2	0.015133399273715842	-0.06758947615658617	0.09785627470401786	0.7199260537765302	0.8687825797899009	not prognostic
UGT2B10	-0.17694740944643508	-0.32761227356667155	-0.026282545326198586	0.021342647177135573	0.13334314038862163	not prognostic
UGT2B15	-0.21250074318042217	-0.3510188251015801	-0.0739826612592642	0.002640282313507612	0.04502561438634981	favorable
ADIRF	-0.03744458026854332	-0.13628831409089745	0.061399153553810815	0.45779329748886044	0.7009788596575625	not prognostic
LTBP2	0.007733623514953658	-0.09337831867911872	0.10884556570902604	0.8808361502376796	0.9470548880842975	not prognostic
ADH6	-0.16431905235471672	-0.31746294315516477	-0.011175161554268703	0.0354670125745755	0.17380195050912667	not prognostic
SFN	0.1012643494101157	-0.0013880504487950862	0.20391674926902648	0.05317935376200255	0.2222757956261479	not prognostic
ADH4	-0.10496985838382877	-0.21409390349238494	0.0041541867247273795	0.0593824471474492	0.23597472228633495	not prognostic
ASPN	0.015825247755860118	-0.06575331102694437	0.0974038065386646	0.7037901571467451	0.8606793166145074	not prognostic
ADH1C	-0.1728096413483728	-0.3171929637819835	-0.028426318914762133	0.018984078558753115	0.12397115633589835	not prognostic
ADH1A	-0.23296193070007767	-0.36572692512041605	-0.1001969362797393	0.0005835720019091227	0.021152713089442814	favorable
UGT2B7	-0.20668825512088262	-0.3583018819540914	-0.055074628287673816	0.007541558110791092	0.07535666268517037	not prognostic
FABP5	0.1960095130981202	0.03489917246618651	0.3571198537300539	0.017101200065254642	0.1174133774418902	not prognostic
FADS2	0.09064793516984955	-0.006521076601112688	0.1878169469408118	0.06748511644143572	0.25248401483500793	not prognostic
POLR3D	0.056824899573537056	-0.05363047904137872	0.16728027818845284	0.31329917347939745	0.5853438022038909	not prognostic
SERPINE1	0.25862471073097465	0.15667621022218822	0.36057321123976105	6.62416508756922e-07	0.0029653075014503616	unfavorable
UGT3A1	-0.13246459697722357	-0.23602395084282718	-0.028905243111619974	0.012175226577358655	0.09784991341749734	not prognostic
POSTN	0.0500750173288762	-0.00875225559298061	0.108902290250733	0.09524373930342839	0.30497753862074195	not prognostic
ADH1B	-0.21616881651523348	-0.36218881749040677	-0.07014881554006017	0.003713315722719722	0.0533632675208823	not prognostic
SMIM24	0.0020133649700928595	-0.1543571520627981	0.1583838820029838	0.979866944331758	0.9925046671119165	not prognostic
GSTA2	-0.04807346311741791	-0.12473507632883457	0.028588150093998753	0.21904669956439546	0.4825603103346537	not prognostic
ASNS	0.05307254734638765	-0.031585491299914864	0.13773058599269017	0.2191801005361109	0.4827354096186472	not prognostic
BPI	0.08715654543990826	-0.011081541073476114	0.18539463195329264	0.08205686466794405	0.27944279550099016	not prognostic
UGT1A1	-0.07963471017863423	-0.19814019835490707	0.038870777997638606	0.18781193603909607	0.4454252353266297	not prognostic
AGR2	0.07929360539592455	0.02336725027080202	0.13521996052104707	0.005454672852103016	0.06383749809788013	not prognostic
UGT1A4	-0.17804759326785852	-0.2988455936095132	-0.05724959292620385	0.003866578741332452	0.05400542819212082	not prognostic
PIGR	-0.04505911475905324	-0.13176264586209627	0.04164441634398978	0.30840372123545257	0.582272989502532	not prognostic
GYS2	-0.16179629750168018	-0.32881796733597	0.005225372332609668	0.05761112214554643	0.2312970298516041	not prognostic
SLC22A1	-0.22811519322319834	-0.38535283311059904	-0.07087755333579765	0.004462783653793682	0.05782243422925447	not prognostic
CPLX2	0.028207619092637692	-0.08602072698901764	0.14243596517429302	0.6283896092766277	0.8161863008637237	not prognostic
GSTM1	-0.022847628167668187	-0.07884935116403205	0.03315409482869568	0.4239265399806509	0.6736624622731217	not prognostic
GSTZ1	-0.28754523963797024	-0.4834093228344085	-0.09168115644153194	0.004009734583949566	0.0556576026823263	not prognostic
GSTT2B;GSTT2	-0.077113742270748	-0.17180424725134524	0.017576762709849245	0.11045552449155864	0.3320712930735139	not prognostic
GSTT1	0.06254444620209688	-0.05435311233603628	0.17944200474023003	0.294338300106718	0.5683007981141787	not prognostic
PLA2G2A	-0.01731525000901954	-0.08779312256236993	0.05316262254433085	0.6301392943910749	0.8171548526482174	not prognostic
UGT1A7	-0.06003344403922158	-0.15627861798814432	0.03621172990970117	0.22150422041339862	0.48606060915714655	not prognostic
ASH1L	0.019034667284784205	-0.08821817378832211	0.12628750835789052	0.7279573077965492	0.8724768108035482	not prognostic
GSTM4	-0.05142599411456544	-0.15172877980408953	0.04887679157495864	0.31495063628262004	0.5873261917596954	not prognostic
AFP	0.0984429472166028	0.04142785608463418	0.15545803834857141	0.0007141262203245686	0.023165116125238635	unfavorable
GYG2	-0.006637957849668432	-0.2016359360862704	0.18836002038693356	0.9468050480849429	0.9796308327174962	not prognostic
EPCAM	0.010632609053407375	-0.062331799780487515	0.08359701788730227	0.7751751007848635	0.8949249100357038	not prognostic
TTC36	-0.2185842898253185	-0.39265869996627906	-0.044509879684357934	0.013850553267286072	0.104644728609293	not prognostic
LCN2	0.09213369359969338	0.013737250550173954	0.1705301366492128	0.021256093715432977	0.1329879853488969	not prognostic
CYP2A6	-0.0911104434270306	-0.18162943884779703	-0.0005914480062641642	0.04852173589369321	0.21139420995437244	not prognostic
NQO1	0.019500805834218354	-0.03270834045587921	0.07170995212431593	0.46412435445660305	0.7042890416016893	not prognostic
DAK	-0.13150074814023885	-0.2602825599697851	-0.0027189363106926157	0.045355311129043306	0.2029315844769239	not prognostic
CA14	-0.10420210871259314	-0.2449948775195458	0.03659066009435952	0.14689446188779579	0.38852174808905043	not prognostic
TMSB4X	0.015668037417059046	-0.08492010645431043	0.11625618128842853	0.7601435152895886	0.8867185527540961	not prognostic
UGT2B17	0.0660799377677312	-0.0015987612945699697	0.13375863683003236	0.05566308632313998	0.22807854089293922	not prognostic
CYP1A2	-0.024293747451454618	-0.16618652452232535	0.11759902961941611	0.7371956237952975	0.8761598858143234	not prognostic
CYP17A1	-0.04500504522014917	-0.13441351045057737	0.04440342001027901	0.32385042123354585	0.5969596090804892	not prognostic
TAT	-0.14738591834859607	-0.2768260007403126	-0.01794583595687957	0.025634971019163663	0.1465580431255251	not prognostic
AIF1L	-0.012557510563645454	-0.112348641359669	0.08723362023237809	0.8051885208847176	0.9113593966473927	not prognostic
SULT1E1	0.03706978895751437	-0.0694657944923272	0.14360537240735594	0.49524973329471966	0.7264041386283789	not prognostic
SULT1C2	0.08619277087037872	-0.0004368611623176144	0.17282240290307505	0.0511665656511641	0.21803629808418476	not prognostic
CAMK2B	0.011709292324574728	-0.12342524263223105	0.1468438272813805	0.8651444547855933	0.9400046485067254	not prognostic
NNMT	0.0029237863592004995	-0.07845434709016075	0.08430191980856175	0.9438606659821392	0.9777142823716409	not prognostic
IGHV1-24	0.04463903581251166	-0.11175778445124593	0.20103585607626925	0.5758777618780924	0.7840379565228955	not prognostic
SULT1A2	-0.19717290464626536	-0.35528147310691427	-0.039064336185616444	0.014516656232636415	0.10732256255226574	not prognostic
CXCL12	0.118751162679032	-0.08000298812746666	0.3175053134855307	0.24158484045145587	0.5090395567337925	not prognostic
CAMP	0.10800673820745522	0.03005927324314786	0.1859542031717626	0.006611689132814226	0.06996980237125977	not prognostic
ANKRD36C	-0.07198505955658571	-0.16573101305980287	0.021760893946631457	0.1323228038650465	0.36814358701173444	not prognostic
OAT	0.02147625202414341	-0.0645881765608658	0.10754068060915262	0.6247826767948124	0.8139812726053486	not prognostic
IL32	-0.04277880409257129	-0.11878259795666984	0.03322498977152727	0.2699544318410917	0.5431240512973694	not prognostic
CYP2C8	-0.17891374865652152	-0.3424303028079678	-0.015397194505075235	0.03199125299264634	0.1645133188071009	not prognostic
TKTL1	0.0286143841304403	-0.054461216513688085	0.11168998477456869	0.4996212241362298	0.7286380224290057	not prognostic
AQP9	-0.18436575357774096	-0.3029223293010642	-0.06580917785441771	0.0023043592907620453	0.04142756773131043	favorable
JTB	0.2303612132342485	0.030769350313071958	0.429953076155425	0.02369031938584377	0.1412113378571633	not prognostic
KBTBD7	-0.016441309841615296	-0.11844014931074233	0.08555752962751174	0.7520565201811741	0.8837330391366388	not prognostic
TM4SF4	-0.005218424467674043	-0.11282090546177323	0.10238405652642515	0.9242728374105894	0.9694253413000242	not prognostic
THBS2	0.028874763163330337	-0.04646610386387556	0.10421563019053623	0.4525527742400842	0.6960496457260735	not prognostic
CYP2C19	0.058777268314906476	-0.07461737941591201	0.19217191604572498	0.38780061468055105	0.6463102947198387	not prognostic
THBS1	0.04373072876676722	-0.05625226551931007	0.14371372305284452	0.391305455299766	0.6491305801924783	not prognostic
INMT	0.0983836945982546	0.0028110677512448168	0.1939563214452644	0.0436316651000634	0.19788971511695422	not prognostic
CYP3A5	-0.07113143374592369	-0.16861486906090883	0.026352001569061465	0.15267658240452792	0.3968970506003886	not prognostic
TFRC	0.19631647563630944	0.0412509344563928	0.35138201681622605	0.013088260894771102	0.10198363776404323	not prognostic
CYP3A4	0.013322650287457612	-0.08203938703363456	0.1086846876085498	0.7842239065670392	0.8995716381159132	not prognostic
TFPI	0.06078378829268253	-0.060656509313449215	0.18222408589881428	0.326588258753723	0.598066001354486	not prognostic
CYP39A1	0.04113256432429436	-0.11763347278002281	0.19989860142861152	0.6116070790856929	0.8051342712916054	not prognostic
CYP2E1	-0.050849976979877906	-0.1465289555152126	0.044829001555456785	0.29757341834696216	0.5709761711230931	not prognostic
CYP2C9	-0.12000762809156183	-0.2463491876289169	0.006333931445793209	0.06264477738662332	0.24216696543283184	not prognostic
APOC3	-0.16449835247513386	-0.25431217967267544	-0.07468452527759227	0.0003309717837846617	0.017128268093780787	favorable
LTF	0.13445335835813857	0.05054864402860147	0.21835807268767565	0.0016851575552840887	0.03500514058575045	unfavorable
DCN	0.0227379785261928	-0.08387833633121218	0.12935429338359777	0.6759471214622286	0.8461625529154548	not prognostic
STMN2	0.2638686658413961	0.10380117864827729	0.42393615303451493	0.0012337133929760404	0.029612428974033482	unfavorable
SPP1	0.14254981943480102	0.051789685898601806	0.23330995297100024	0.0020814216879216107	0.039314279265743	unfavorable
HSD17B13	0.03290268499289384	-0.06478259508408046	0.13058796506986814	0.5091500870994898	0.7368931021341307	not prognostic
ENO3	-0.022633949410100627	-0.1404564791406262	0.09518858032042493	0.7065354799533036	0.8620349076072399	not prognostic
SPINK1	0.008417368854863994	-0.06657082487012325	0.08340556257985124	0.8258676528366375	0.9196508825679621	not prognostic
PAGE2;PAGE2B	0.0047719397026737415	-0.05955658112961701	0.06910046053496449	0.8844016548908937	0.9486100414805525	not prognostic
NAT2	-0.12368993078316698	-0.2772174914292165	0.029837629862882548	0.11432441720468185	0.3397100920124516	not prognostic
HRSP12	-0.21784804529217125	-0.3341326138123941	-0.10156347677194835	0.00024084291514242433	0.014974073744931425	favorable
PAGE4	-0.054947096637131314	-0.1193312353420172	0.00943704206775458	0.09438948456130986	0.30332701194451084	not prognostic
ANGPTL6	0.10287998166426986	-0.10928636339668236	0.3150463267252221	0.34191343831276433	0.6101556733534342	not prognostic
PAGE5	-0.04103524046665764	-0.10729555223407528	0.02522507130076001	0.22481933920061842	0.48902029734284175	not prognostic
HPD	-0.17234472582622448	-0.29045830007632123	-0.054231151576127734	0.004238148390741347	0.05705886096587561	not prognostic
PAH	-0.16176405135498206	-0.3263705270057179	0.002842424295753765	0.054089475482887533	0.22409212123937625	not prognostic
DDX3Y	-0.05096871541802757	-0.14396901057484085	0.0420315797387857	0.2827526655006051	0.5550284179405651	not prognostic
CTH	-0.207708015346625	-0.3654492025273528	-0.049966828165897176	0.009856845947724556	0.08860275278110237	not prognostic
HOGA1	-0.09743720931193334	-0.22519868854354697	0.03032426991968029	0.13497571522652152	0.37125578446176566	not prognostic
TTC25	-0.00026862876762577596	-0.1250228336258902	0.12448557609063865	0.9966326815454625	0.9983052582095016	not prognostic
TRIP13	0.33823399009917887	0.18763129211265403	0.4888366880857037	1.0734505096596861e-05	0.010678447125536854	unfavorable
HPGD	-0.011383424949896633	-0.09239081899072657	0.0696239690909333	0.7829931397238535	0.8986203794318242	not prognostic
TOP2A	0.23780864755030068	0.11769846137666229	0.35791883372393907	0.00010421052104191046	0.010976432881037933	unfavorable
HSD17B6	-0.2574993406718567	-0.3894020820764337	-0.12559659926727976	0.00013012389636333734	0.012263149938325887	favorable
AFF2	-0.05965851383286674	-0.22055899756057323	0.10124196989483975	0.4674015395557607	0.7063885860301697	not prognostic
NEB	0.008099966958732989	-0.049474328495687954	0.06567426241315394	0.7827463392572998	0.8984523045346929	not prognostic
STEAP4	-0.16856059091087638	-0.38360828727571566	0.046487105453962896	0.12447062034853121	0.3538855077740235	not prognostic
OGN	0.0006184234679025139	-0.1045826754849684	0.10581952242077343	0.990807275829644	0.9964836599082008	not prognostic
ELANE	0.12065480937016673	0.03284599481316479	0.20846362392716866	0.007078822198297792	0.07259644346089363	not prognostic
OLFM4	0.11090797397379744	0.02273867231362335	0.19907727563397154	0.013684720824020892	0.1041830829400162	not prognostic
IGF2BP3	0.08422909454358951	0.012781071167061342	0.15567711792011768	0.020856360691437335	0.13177628600595515	not prognostic
OLFML1	0.07264974708488472	-0.06445726148920206	0.2097567556589715	0.29901948619046903	0.5727688189694629	not prognostic
CBFA2T3	0.027488498692820815	-0.12692669731868056	0.18190369470432216	0.7271594962404624	0.8718707606590143	not prognostic
BRIP1	0.01429746876226451	-0.03739292027128871	0.06598785779581773	0.5877341074355265	0.791275708852672	not prognostic
IGF2BP1	0.06210600130787165	0.0013006298347950362	0.12291137278094827	0.04529680986463379	0.2028726056618641	not prognostic
STAB2	-0.017225914437095587	-0.2164244080629663	0.18197257918877513	0.865411161555889	0.9401803336257584	not prognostic
L1RE1	0.1016335398125961	-0.00729146580216225	0.21055854542735444	0.0674350407768385	0.2525077039209683	not prognostic
SRP9	0.08045557716333887	-0.10031124081141299	0.26122239513809076	0.38302320098921794	0.6425345172299922	not prognostic
SRD5A2	0.08058527353795424	-0.05852313446489581	0.21969368154080426	0.2562061117651343	0.5256217503742546	not prognostic
ANKRD12	-0.05358417076434702	-0.12030529808474459	0.013136956556050558	0.11547362333986481	0.3417637519873751	not prognostic
ARID3A	0.10020291327406998	0.01248515451004581	0.18792067203809415	0.025160337947880026	0.14486206150956263	not prognostic
SQSTM1	0.018567359380070085	-0.07674297928992704	0.11387769805006723	0.7025951773350295	0.8598051698579168	not prognostic
IGF2BP2	0.15164767557076023	0.05754479719717233	0.24575055394434814	0.0015858307164606138	0.03429454687070501	unfavorable
UROC1	-0.1257030353355909	-0.25901569827386006	0.007609627602678221	0.06458973347986337	0.24659781827088134	not prognostic
EEF1A2	0.025076909505353486	-0.023310665669650326	0.0734644846803573	0.3097468765143476	0.5829648487351176	not prognostic
CNGA3	0.06705741695368685	-0.07296463489220394	0.20707946879957762	0.3479162563160668	0.6152269885043938	not prognostic
VNN1	0.02738995336556896	-0.045263747087683034	0.10004365381882095	0.45997187759572244	0.7026323528603485	not prognostic
GLRX	-0.0017597820613546027	-0.10803945983052946	0.10451989570782025	0.9741106836951544	0.9900343910912383	not prognostic
BBOX1	-0.027164974549953244	-0.1315379924714238	0.07720804337151732	0.6099700263442063	0.805110076051847	not prognostic
PYCR1	0.05245330826353152	-0.021605852555078964	0.126512469082142	0.1650857381697236	0.415288736677026	not prognostic
BGN	0.040177158302401345	-0.047794594984453126	0.12814891158925582	0.3707198604100129	0.6334074256203904	not prognostic
CGREF1	0.01606403387264693	-0.09044785539644881	0.12257592314174268	0.7675354777679059	0.8912769302796447	not prognostic
CLEC4G	0.04117328161081664	-0.15328777610041971	0.23563433932205302	0.6781539114746975	0.8472665321564286	not prognostic
SACS	-0.08974313183730083	-0.18926850139060297	0.009782237716001299	0.07717443336912864	0.27021615250442266	not prognostic
PRODH	-0.03277883394052827	-0.11820501859553528	0.052647350714478756	0.4520169656309946	0.6958232278704082	not prognostic
GLS2	-0.06526407150534282	-0.18753089950639146	0.05700275649570584	0.29546993299978186	0.5696258204451006	not prognostic
MBL2	-0.027523368821738847	-0.15298122850078075	0.09793449085730306	0.667207632090093	0.8393297639598993	not prognostic
CLEC4M	0.13841745743218783	0.004312204641628015	0.27252271022274765	0.04307445064654349	0.19655736831728027	not prognostic
MAPK8IP3	0.03374123669497197	-0.030819285147813145	0.09830175853775708	0.30567702372864536	0.5793239613553264	not prognostic
CYP2A7	-0.05372205343231677	-0.14034204257071825	0.03289793570608471	0.22414599730271736	0.48862408421018466	not prognostic
GLUL	-0.01778672060163015	-0.0797363843242458	0.04416294312098551	0.5736143825719717	0.7821458372170063	not prognostic
XPNPEP2	0.020535732060409963	-0.05170999382936966	0.09278145795018958	0.5774477470298113	0.7845052623911837	not prognostic
CLGN	0.1114857117910728	-0.0051576376529269136	0.22812906123507254	0.06102697771081846	0.23942792788999023	not prognostic
PRPH	0.11427383527394865	-0.03636385617456041	0.2649115267224577	0.13705978129127352	0.3740006772023078	not prognostic
MT1H	-0.05956936503702411	-0.1284403623274679	0.009301632253419671	0.09002731192845947	0.2953516026733227	not prognostic
GLYAT	-0.23008047904042636	-0.3803197214666606	-0.07984123661419215	0.0026861565084262645	0.045290318681620235	favorable
FLNC	0.037449768583222444	-0.036973529487083996	0.11187306665352889	0.3240089991605221	0.596883244749826	not prognostic
GLYATL1	-0.26961540494461794	-0.4145413030868115	-0.12468950680242438	0.00026609205691752056	0.015882147903883745	favorable
CFHR3	-0.04683179700154087	-0.16320314308713088	0.06953954908404913	0.4302544397545979	0.678658914574157	not prognostic
RPL22L1	-0.03707377778607073	-0.13167509823963142	0.057527542667489946	0.44242780837549067	0.688161252325533	not prognostic
MCM2	0.23454948357687183	0.08929386161449915	0.3798051055392445	0.0015517655807429085	0.03421910651327896	unfavorable
MFAP4	0.058611744698187064	-0.05525024069557418	0.1724737300919483	0.31301605920303294	0.5853034206442678	not prognostic
PRELP	0.014526488279964424	-0.06838294019778487	0.09743591675771374	0.731294873044867	0.8741365818919484	not prognostic
GLDC	-0.0015311041457758184	-0.13028725833978563	0.127225050048234	0.9814054543492987	0.9931641271379305	not prognostic
SCD	0.05986179599145075	-0.02524457160304655	0.14496816358594805	0.16802056029918802	0.418555391307354	not prognostic
RPS4Y1	-0.00013041409710610178	-0.09622889984956913	0.09596807165535694	0.9978777544336548	0.9986585664480787	not prognostic
AADAT	-0.14470663846442125	-0.30169242530768536	0.012279148378842891	0.0708154491624723	0.25877988422514875	not prognostic
S100A12	0.11767953303766293	0.04017615391904131	0.19518291215628455	0.002920644718977416	0.047284868298381195	unfavorable
CHI3L1	0.10454760254565117	0.03465482175920265	0.17444038333209969	0.0033703659875419798	0.05088513775120294	not prognostic
BCO2	-0.14406877053046208	-0.3311961184201848	0.04305857735926069	0.13130638477477222	0.3666831138142656	not prognostic
MT1M	-0.19104250438038872	-0.30349995721381384	-0.07858505154696359	0.0008697612323418388	0.025364730661747503	favorable
S100A14	-0.013139762715770534	-0.09979611099050957	0.07351658555896849	0.7663209138307432	0.8905595978097928	not prognostic
MARCO	0.12711123452335962	-0.022014009183322164	0.2762364782300414	0.09479433801371828	0.3039733912022994	not prognostic
MT1F	-0.10103874434360689	-0.21293292185389256	0.010855433166678766	0.07675750825703587	0.2698115317727688	not prognostic
RDH5	-0.11126866378921632	-0.3145689404574476	0.09203161287901496	0.28340051518563825	0.5556909357111299	not prognostic
BDH2	-0.15456688465937538	-0.30940368057391776	0.00026991125516703796	0.05040070693859878	0.21579987050276175	not prognostic
ZBTB18	0.16638776822001428	0.02139559471830413	0.31137994172172445	0.024500811114386338	0.14336977902424894	not prognostic
PRG3	0.09795329260844086	-0.035526585991002876	0.2314331712078846	0.1503472174843814	0.39289510745407663	not prognostic
GGH	0.024023314222541493	-0.08218433688929298	0.13023096533437598	0.6575284710848623	0.8326523906114246	not prognostic
MB	-0.11846055723186809	-0.31365887937037	0.07673776490663382	0.23426307559959364	0.5000851969106251	not prognostic
MT2A	-0.05242637492838236	-0.11689063623756787	0.012037886380803157	0.11094376863400045	0.3323116629575798	not prognostic
S100A8	0.11513912651265566	0.03484794940403323	0.1954303036212781	0.004944508809433958	0.06089159198192878	not prognostic
RDH16	-0.17661720763458508	-0.31345035592070447	-0.039784059348465683	0.011412074507036348	0.09513249819506184	not prognostic
MCM7	0.23681770451352707	0.08947706450982792	0.3841583445172262	0.0016315233060885139	0.03436947802214227	unfavorable
FCN2	0.04479462835752887	-0.12468196538702442	0.21427122210208216	0.60442952285343	0.8034829277070169	not prognostic
GCK	-0.06769369550912027	-0.16774852688720224	0.032361135868961693	0.1848248045196563	0.4422064336890655	not prognostic
MDK	0.05714820532195657	-0.02614836573887961	0.14044477638279276	0.17872397652972896	0.4330489206686504	not prognostic
CHCHD10	0.00812568953091227	-0.08115698643097091	0.09740836549279544	0.8584261814625297	0.9364554164291493	not prognostic
FTH1	-0.06046372632715062	-0.18563131447642922	0.06470386182212799	0.3437486276358148	0.6118452213167893	not prognostic
S100P	0.07300850621450172	0.012515705146934446	0.133501307282069	0.0180070923259921	0.12058152400494186	not prognostic
SAA1	-0.051917624227499085	-0.13044042387186866	0.02660517541687049	0.19501442573094885	0.45314408345943036	not prognostic
GPT	-0.2083572538304575	-0.38457840041785984	-0.03213610724305513	0.02048262305072617	0.13061319385552095	not prognostic
COCH	0.00319123473063161	-0.085386581250675	0.09176905071193822	0.9437061247817051	0.9777804577213987	not prognostic
ACMSD	-0.08936025285237315	-0.23658662238897282	0.05786611668422653	0.2341972676926379	0.5000639488796058	not prognostic
BHMT2	-0.2714018413572105	-0.41142638085919814	-0.1313773018552229	0.00014534553042594873	0.012883945880232861	favorable
DNAJB9	-0.07079722919616556	-0.1659514469355169	0.024356988543185756	0.1447676464438759	0.3851722848772722	not prognostic
PVALB	0.02505463047370514	-0.1431086120035432	0.1932178729509535	0.7702752274249588	0.892490502282342	not prognostic
VIL1	0.10341788403365944	0.009915625289212762	0.1969201427781061	0.030172985686742308	0.15984540878899636	not prognostic
FBN1	-0.0727463459839543	-0.18371376891139257	0.03822107694348398	0.1988329743945985	0.45844749414237457	not prognostic
ACSL4	0.06131805446105376	-0.02053791737524778	0.14317402629735532	0.1420491064484895	0.38099630018973235	not prognostic
G6PD	0.22754732342821965	0.11001340951293415	0.34508123734350515	0.00014793051621009946	0.012734826073355967	unfavorable
VCAN	0.04754022620544657	-0.036058978482038304	0.13113943089293145	0.26503490844414207	0.5373318694067943	not prognostic
DES	0.1295547447988613	-0.009192051485630265	0.2683015410833529	0.06723270049992809	0.2523833826313862	not prognostic
COL6A6	0.14793088311053557	-0.06060668379531223	0.3564684500163834	0.16442408152938004	0.4144394149584852	not prognostic
