"","coefficients.ConditionC...ConditionA","coefficients.ConditionC...ConditionB","coefficients.ConditionC...ConditionD","coefficients.ConditionA...ConditionB","coefficients.ConditionA...ConditionD","coefficients.ConditionB...ConditionD","df.residual","sigma","stdev.unscaled.ConditionC...ConditionA","stdev.unscaled.ConditionC...ConditionB","stdev.unscaled.ConditionC...ConditionD","stdev.unscaled.ConditionA...ConditionB","stdev.unscaled.ConditionA...ConditionD","stdev.unscaled.ConditionB...ConditionD","Amean","s2.post","t.ConditionC...ConditionA","t.ConditionC...ConditionB","t.ConditionC...ConditionD","t.ConditionA...ConditionB","t.ConditionA...ConditionD","t.ConditionB...ConditionD","df.total","p.value.ConditionC...ConditionA","p.value.ConditionC...ConditionB","p.value.ConditionC...ConditionD","p.value.ConditionA...ConditionB","p.value.ConditionA...ConditionD","p.value.ConditionB...ConditionD","lods.ConditionC...ConditionA","lods.ConditionC...ConditionB","lods.ConditionC...ConditionD","lods.ConditionA...ConditionB","lods.ConditionA...ConditionD","lods.ConditionB...ConditionD","F","F.p.value"
"Collecting duct acid secretion_Homo sapiens_hsa04966",1.09072549915768,0.964549810158406,0.285164007317073,-0.126175688999277,-0.805561491840609,-0.679385802841332,8,0.137413135127096,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0114559921169221,0.0160651109064872,10.5394811574845,9.32026853454003,2.75548768616125,-1.21921262294452,-7.78399347132329,-6.56478084837878,11.6319450597957,2.67310375407556e-07,9.70398439508235e-07,0.0178667447548731,0.246910566760267,6.02280412699666e-06,3.10331857711299e-05,7.19416627523493,5.81254752127515,-4.28815415979435,-6.84558544024422,3.93416191903114,2.38833950364273,51.7856937303811,5.23194727078389e-07
"Vibrio cholerae infection_Homo sapiens_hsa05110",0.83180869250501,0.939884497815352,0.61752802271522,0.108075805310341,-0.21428066978979,-0.322356475100131,8,0.0981623251620136,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00970056355651619,0.00970570836343073,10.3408315889102,11.6844021858758,7.67694944987891,1.34357059696555,-2.66388213903133,-4.00745273599688,11.6319450597957,3.26994926252943e-07,8.86763136704511e-08,6.90510871253951e-06,0.204711056825805,0.0211234311702883,0.00184651947541019,6.98338854616644,8.32024233903084,3.83308311516329,-6.69439967317224,-4.50449356212672,-1.84767747526423,54.5591221130714,3.94909809647903e-07
"Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120",0.625657164905845,0.889176860081143,0.817610980091765,0.263519695175298,0.191953815185919,-0.0715658799893787,8,0.101873511890108,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.030794043596481,0.0102162818503547,7.58115924014908,10.7742574480792,9.90708551623927,3.1930982079301,2.32592627609019,-0.867171931839902,11.6319450597957,7.81253905226164e-06,2.11500875384598e-07,5.13485515873824e-07,0.00801480699391753,0.0389785303991374,0.403382466999219,3.65076016226231,7.41155107442788,6.55499485859748,-3.64121680580588,-5.09771745078073,-6.8922257323982,48.0111231291216,7.85283442275864e-07
"Rheumatoid arthritis_Homo sapiens_hsa05323",0.757250814551054,1.01123572015774,0.874644301519458,0.253984905606682,0.117393486968404,-0.136591418638278,8,0.0640525935625237,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0426741547000198,0.00590025205449302,12.0739701074167,16.1236272343598,13.945748156678,4.04965712694308,1.87177804926132,-2.17787907768176,11.6319450597957,6.22059050694184e-08,2.57031114720366e-09,1.28680775651281e-08,0.00171404362450026,0.0865864050095777,0.0507692890094227,8.7136946750147,11.9759070936836,10.3665860586345,-2.06947273511745,-5.84389383798641,-5.13773907867275,104.147072364228,1.1232575550134e-08
"Phagosome_Homo sapiens_hsa04145",0.702915775588239,0.793795409409887,0.774597481296816,0.0908796338216473,0.0716817057085768,-0.0191979281130705,8,0.0500823230260212,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0363981763108111,0.0048036198718571,12.4212299977292,14.0271646957568,13.6879179625721,1.60593469802754,1.26668796484281,-0.33924673318473,11.6319450597957,4.57247792459512e-08,1.20680587271207e-08,1.58038723503404e-08,0.135076039854878,0.230043452875053,0.740469930966859,9.03309196342373,10.3903206371145,10.1566070060756,-6.34177541404724,-6.68758710543148,-7.22411306599605,90.4510025348433,2.46560434328836e-08
"Tuberculosis_Homo sapiens_hsa05152",0.51438420422184,0.7751521295084,0.819340603545536,0.26076792528656,0.304956399323696,0.044188474037136,8,0.104905240055085,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0179657735334705,0.0106474372335471,6.10535201430047,9.20047034189716,9.72495415527479,3.09511832759668,3.61960214097432,0.524483813377638,11.6319450597957,6.04958810518461e-05,1.10932922456399e-06,6.23584050100849e-07,0.00958918745712519,0.00369115664603866,0.609791887604878,1.4988943962978,5.67182458412741,6.35214665637729,-3.82124349590718,-2.75758602726601,-7.13906946139396,39.9091785740191,2.09451967834579e-06
"Toxoplasmosis_Homo sapiens_hsa05145",0.335165685664723,0.360393680222985,0.688379322904796,0.0252279945582627,0.353213637240073,0.32798564268181,8,0.0398661481523252,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00487453721232435,0.00417161598500536,6.35554820589994,6.83393171116608,13.0533290184207,0.478383505266142,6.69778081252075,6.2193973072546,11.6319450597957,4.19098455001581e-05,2.12649408832866e-05,2.66056739828964e-08,0.641242731224023,2.57153338361224e-05,5.11214522349082e-05,1.8843069589532,2.56160933669615,9.62279820328881,-7.48043881125997,2.40785958908592,1.86788999766601,56.8758392582851,3.15348921900279e-07
"Leishmaniasis_Homo sapiens_hsa05140",0.525635317818581,0.845864304346807,0.777575828399127,0.320228986528226,0.251940510580546,-0.0682884759476802,8,0.142274784336132,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0156784749922525,0.0170002903939729,4.93744189354669,7.94544375341824,7.30399069545057,3.00800185987155,2.36654880190389,-0.64145305796766,11.6319450597957,0.000376680652825263,4.91281972859561e-06,1.12361214609473e-05,0.0112488997893382,0.0362329492526782,0.533664244066761,-0.41426503193594,4.10502814807377,3.32203594670979,-3.98087172612213,-5.0277721538315,-7.06748032817082,25.9861299027451,1.9021890043997e-05
"Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321",0.385022177772417,0.439111801783614,1.02878113533049,0.0540896240111971,0.643758957558071,0.589669333546874,8,0.160570726602215,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0100844181639275,0.0208110676665181,3.26876873225341,3.72797986842763,8.73416598222093,0.459211136174221,5.46539724996752,5.0061861137933,11.6319450597957,0.00697966827379056,0.00303729313355522,1.89222827038704e-06,0.654545624837351,0.000160919722476605,0.000336447781815521,-3.41461462453986,-2.61005541848675,5.19076942117898,-7.48999458869964,0.484452777127112,-0.0921653206812811,26.0019466171367,1.89640280340556e-05
"Asthma_Homo sapiens_hsa05310",0.494836761649813,1.17503746659246,1.17142073235253,0.680200704942652,0.676583970702712,-0.00361673423993936,8,0.102688709531966,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0515669567628226,0.0103309719660038,5.96261810006793,14.1588099542217,14.1152295117131,8.19619185415375,8.1526114116452,-0.0435804425085522,11.6319450597957,7.48753300919347e-05,1.08860151447666e-08,1.12628359756835e-08,3.60121781638834e-06,3.79905544197249e-06,0.965978007696265,1.27514176370009,10.4966136025382,10.5025263827049,4.39267501164507,4.41868396709812,-7.28498332528816,94.8181585149526,1.89652560350557e-08
"Intestinal immune network for IgA production_Homo sapiens_hsa04672",0.786405655626409,0.830035795815004,0.987140847096929,0.0436301401885947,0.20073519147052,0.157105051281925,8,0.175577931844695,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.047630949085128,0.0242805833035773,6.18105630618386,6.52398409570692,7.75881139000705,0.342927789523063,1.5777550838232,1.23482729430013,11.6319450597957,5.40878842920476e-05,3.28904938196645e-05,6.2189082904264e-06,0.737770383232505,0.141414365457613,0.241257507634222,1.61642433525875,2.10261423778852,3.94293302930478,-7.53981331538894,-6.28033403127264,-6.51182012609418,24.1831147911768,2.72145994913973e-05
"Viral myocarditis_Homo sapiens_hsa05416",0.414862312459488,0.815149988492368,0.97017346977274,0.40028767603288,0.555311157313252,0.155023481280373,8,0.12069462198698,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00991081727079428,0.0130972991386737,4.43975229011117,8.72353048108339,10.3825528491438,4.28377819097222,5.94280055903259,1.65902236806037,11.6319450597957,0.000869886264299311,1.91589722205657e-06,3.13360808550044e-07,0.00113835295211717,7.71426011808053e-05,0.123808274066049,-1.28357660747799,5.09680594163044,7.07002942857617,-1.64707259848229,1.25446575086824,-5.95148025334377,43.3381295681356,1.354980558521e-06
"Autoimmune thyroid disease_Homo sapiens_hsa05320",0.396474144197223,0.917415306163505,1.2254382581334,0.520941161966282,0.828964113936173,0.308022951969891,8,0.13868135472968,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00171238966166891,0.0163059294058194,3.8026619664432,8.79911172831846,11.7534208084708,4.99644976187525,7.95075884202755,2.9543090801523,11.6319450597957,0.00265706692807048,1.7543412607542e-06,8.32166159919146e-08,0.00034185988884534,4.8802291121538e-06,0.0124123879393532,-2.43342022314658,5.18953927472353,8.44704721656487,-0.396824118099881,4.15537017691473,-3.77201676248004,54.4890874112586,3.97659401484767e-07
"Allograft rejection_Homo sapiens_hsa05330",0.396474144197223,0.917415306163505,1.2254382581334,0.520941161966282,0.828964113936173,0.308022951969891,8,0.13868135472968,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00171238966166891,0.0163059294058194,3.8026619664432,8.79911172831846,11.7534208084708,4.99644976187525,7.95075884202755,2.9543090801523,11.6319450597957,0.00265706692807048,1.7543412607542e-06,8.32166159919146e-08,0.00034185988884534,4.8802291121538e-06,0.0124123879393532,-2.43342022314658,5.18953927472353,8.44704721656487,-0.396824118099881,4.15537017691473,-3.77201676248004,54.4890874112586,3.97659401484767e-07
"Type I diabetes mellitus_Homo sapiens_hsa04940",0.492968829113301,0.482736122285712,0.93092589813248,-0.0102327068275886,0.437957069019179,0.448189775846767,8,0.13507414477623,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.000656003001103141,0.0156267696900174,4.82981485663914,4.72956089220814,9.1206572661352,-0.100253964431008,4.29084240949605,4.39109637392706,11.6319450597957,0.000450138465764842,0.000532155964762037,1.21367654512962e-06,0.921849878973018,0.00112449585964428,0.000945714525903816,-0.599729984873735,-0.812615201213164,5.65583053531583,-7.59774990205114,-1.53783533650577,-1.16047836365682,27.7642255924085,1.36359985484864e-05
"Graft-versus-host disease_Homo sapiens_hsa05332",0.396474144197223,0.917415306163505,1.2254382581334,0.520941161966282,0.828964113936173,0.308022951969891,8,0.13868135472968,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00171238966166891,0.0163059294058194,3.8026619664432,8.79911172831846,11.7534208084708,4.99644976187525,7.95075884202755,2.9543090801523,11.6319450597957,0.00265706692807048,1.7543412607542e-06,8.32166159919146e-08,0.00034185988884534,4.8802291121538e-06,0.0124123879393532,-2.43342022314658,5.18953927472353,8.44704721656487,-0.396824118099881,4.15537017691473,-3.77201676248004,54.4890874112586,3.97659401484767e-07
"Antigen processing and presentation_Homo sapiens_hsa04612",0.0724871187969715,0.71557272038349,0.867248523609083,0.643085601586518,0.794761404812111,0.151675803225593,8,0.0770706434089472,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0139511751348861,0.0071637720067893,1.04890363283448,10.354485575151,12.5492658844914,9.30558194231649,11.5003622516569,2.19478030934041,11.6319450597957,0.31552785409572,3.2246386310895e-07,4.08961156991439e-08,9.86376274950348e-07,1.05216530235191e-07,0.0492687205125194,-6.94402158747527,6.96958213288104,9.18060284966689,5.75836861444397,8.17416214810993,-5.10948249151124,81.5781487345687,4.37139719497617e-08
"Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514",0.100899579641005,0.331411183242803,0.6911926995716,0.230511603601799,0.590293119930595,0.359781516328797,8,0.087871561434346,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0425392549476529,0.00838903723923856,1.34920805496179,4.43156095918851,9.24248407288509,3.08235290422672,7.8932760179233,4.81092311369659,11.6319450597957,0.202947325637528,0.000882193964326317,1.05831284893374e-06,0.00981606293011157,5.24536604612398e-06,0.000464513923659649,-6.59765319059109,-1.33729794360103,5.799170229808,-3.84466370162963,4.07949951944015,-0.426305752174347,33.6387156125551,5.11071355473676e-06
"Staphylococcus aureus infection_Homo sapiens_hsa05150",0.658693823685858,1.06480283100852,0.976293730154013,0.406109007322662,0.317599906468155,-0.0885091008545071,8,0.177302075467079,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0353871344991945,0.0246990280681948,5.13321304121883,8.29802797887843,7.60827493363113,3.1648149376596,2.4750618924123,-0.6897530452473,11.6319450597957,0.000273542666545825,3.18071740269144e-06,7.54337715625183e-06,0.0084404261419935,0.0297830583922551,0.503878280827072,-0.0807099445913817,4.56299869815943,3.74029160589973,-3.69322709343065,-4.83894217241791,-7.03401091661581,28.2851226924735,1.24123718033599e-05
