"","coefficients.ConditionC...ConditionA","coefficients.ConditionC...ConditionB","coefficients.ConditionC...ConditionD","coefficients.ConditionA...ConditionB","coefficients.ConditionA...ConditionD","coefficients.ConditionB...ConditionD","df.residual","sigma","stdev.unscaled.ConditionC...ConditionA","stdev.unscaled.ConditionC...ConditionB","stdev.unscaled.ConditionC...ConditionD","stdev.unscaled.ConditionA...ConditionB","stdev.unscaled.ConditionA...ConditionD","stdev.unscaled.ConditionB...ConditionD","Amean","s2.post","t.ConditionC...ConditionA","t.ConditionC...ConditionB","t.ConditionC...ConditionD","t.ConditionA...ConditionB","t.ConditionA...ConditionD","t.ConditionB...ConditionD","df.total","p.value.ConditionC...ConditionA","p.value.ConditionC...ConditionB","p.value.ConditionC...ConditionD","p.value.ConditionA...ConditionB","p.value.ConditionA...ConditionD","p.value.ConditionB...ConditionD","lods.ConditionC...ConditionA","lods.ConditionC...ConditionB","lods.ConditionC...ConditionD","lods.ConditionA...ConditionB","lods.ConditionA...ConditionD","lods.ConditionB...ConditionD","F","F.p.value"
"positive regulation of leukocyte mediated immunity (GO:0002705)",-0.195935791971163,-0.0203030970891806,0.445437276987594,0.175632694881983,0.641373068958757,0.465740374076774,8,0.158132652000918,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00655395157676264,0.0239090978431048,-1.55195030836459,-0.160814915290961,3.52817886116345,1.39113539307362,5.08012916952804,3.68899377645441,10.5879122222204,0.150031850469698,0.875266350447632,0.00500898356995124,0.192724110244539,0.000399788840104894,0.00380231968706867,-5.69743406876029,-7.11769195576401,-2.70333305392281,-6.15445361213998,-0.0117751726920341,-2.12910889143259,9.37235040277412,0.00254760396038806
"negative regulation of leukocyte mediated immunity (GO:0002704)",0.177591347145051,0.460826575491649,0.704682356792073,0.283235228346598,0.527091009647022,0.243855781300424,8,0.129988814317592,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0110263283246655,0.0177822289299813,1.63107650764998,4.23243256762562,6.47211058419523,2.60135605997564,4.84103407654525,2.23967801656962,10.5879122222204,0.132229752859535,0.00153027564358941,5.49224580817479e-05,0.0253286694128498,0.000577865319857464,0.0476218706042138,-5.58767593960879,-1.4553928781999,1.9743329908833,-4.28079300545173,-0.393142842754675,-4.61789740599471,16.2801555543845,0.000276604482584355
"regulation of leukocyte mediated immunity (GO:0002703)",0.0657276279906552,0.270660594918894,0.543476690293839,0.204932966928239,0.477749062303183,0.272816095374944,8,0.0473724885673336,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00436127129531514,0.00671078151553852,0.982668510274679,4.04654255341182,8.1253111658919,3.06387404313714,7.14264265561722,4.07876861248007,10.5879122222204,0.347692279564458,0.00208085201538216,7.18159055968698e-06,0.0112332732085523,2.31452128087853e-05,0.00197227106581882,-6.37097915197551,-1.7717895038745,4.09173686273828,-3.47522021806549,2.94148525173926,-1.46454491025185,26.7336412054051,3.02293201756863e-05
"positive regulation of production of molecular mediator of immune response (GO:0002702)",-0.0921096265560961,0.148399591503082,0.369765621510841,0.240509218059178,0.461875248066937,0.221366030007759,8,0.125110537581633,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0205783200626549,0.0168419527300209,-0.869269474337212,1.40049677456002,3.48960232992528,2.26976624889724,4.3588718042625,2.08910555536526,10.5879122222204,0.403974863563474,0.189982408179809,0.00535330493036378,0.0452042009345784,0.0012447898007215,0.0617022151063742,-6.47605339681365,-6.15376003461014,-2.77097009600305,-4.8411573355112,-1.1854240462416,-4.86108317210795,7.23505155127885,0.00644439634072502
"negative regulation of production of molecular mediator of immune response (GO:0002701)",0.307701852832771,-0.266095829561957,0.163380145371148,-0.573797682394728,-0.144321707461623,0.429475974933105,8,0.191255116507819,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0163091943653338,0.0326530947472643,2.0855161948007,-1.80352232790093,1.10734445029683,-3.88903852270163,-0.978171744503867,2.91086677819777,10.5879122222204,0.0620819528664761,0.0997984870367661,0.292667505078156,0.0027088428426419,0.349810357574073,0.014696172259904,-4.90217380322456,-5.59070946110754,-6.5366542120835,-2.03229975664263,-6.56819829031733,-3.47977870571008,5.56381138513915,0.0151783121578837
"regulation of production of molecular mediator of immune response (GO:0002700)",0.0767904007698837,0.0561017811105124,0.318423455254059,-0.0206886196593713,0.241633054484175,0.262321674143546,8,0.0543426582558032,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0152763328298877,0.0072464654678531,1.10481471565773,0.80715913348653,4.58128770846622,-0.297655582171196,3.47647299280849,3.77412857497969,10.5879122222204,0.293713743768249,0.437331496969956,0.000870207862014543,0.771724941486059,0.00547597781966353,0.00328959581226337,-6.24597139622121,-6.7879894622677,-0.903229440494998,-7.07231833701136,-2.70072342668789,-1.98282305000723,8.21313805104182,0.00413094048232817
"regulation of steroid hormone secretion (GO:2000831)",0.491533134814221,1.02195910952463,0.776407115687924,0.530425974710406,0.284873980873704,-0.245551993836702,8,0.100682285405197,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0166213740278537,0.0126743896420111,5.34730433148586,11.1177171708432,8.44639931402315,5.77041283935738,3.09909498253729,-2.67131785682009,10.5879122222204,0.000267443966016554,3.59290226589664e-07,5.01158100706182e-06,0.000144454722460248,0.0105607786670451,0.0223982361124691,0.547535931074629,7.17353768160221,4.46445386463922,1.00239280615339,-3.36265396355936,-3.89296240963549,45.5961588693159,2.3740980340515e-06
"establishment of mitochondrion localization (GO:0051654)",0.241369390246733,0.282096212951858,-0.168248584710919,0.040726822705125,-0.409617974957652,-0.450344797662777,8,0.291664363944454,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0245181328229829,0.0692907854171516,1.12302669747285,1.31251762320434,-0.782815303337503,0.18949092573149,-1.90584200081035,-2.09533292654184,10.5879122222204,0.286245650161041,0.217084382803235,0.45088960731516,0.853291628718649,0.0841622975694632,0.0610486019234039,-6.22633169675626,-6.26420597792662,-6.843623439706,-7.10079944076551,-5.37100720340504,-4.85115583420199,1.94254198160599,0.183424718822563
"positive regulation of steroid hormone secretion (GO:2000833)",0.675712395568183,0.733828560608634,0.770720276132328,0.0581161650404508,0.0950078805641451,0.0368917155236943,8,0.208783244549124,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0314210700656901,0.0379511542452071,4.24810283112543,4.61347047401867,4.84540317525246,0.365367642893241,0.597300344127024,0.231932701233784,10.5879122222204,0.0014914416597407,0.000826744358580009,0.000573946335614412,0.722030754830194,0.562862370056103,0.821011820321764,-1.20996871342383,-0.819188890755075,-0.471344638413067,-7.04816326223748,-6.87510969013005,-6.80476596686665,10.5587455671123,0.00161918215151213
"establishment of organelle localization (GO:0051656)",0.195956402345038,0.40048914991159,0.129867873735938,0.204532747566551,-0.0660885286091,-0.270621276175651,8,0.0758659098114513,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00221439712769633,0.00936398341200889,2.4801318471924,5.06881062963082,1.6436791333438,2.58867878243842,-0.836452713848597,-3.42513149628702,10.5879122222204,0.0313290462064291,0.00040674756055863,0.129573848493587,0.0258989051240022,0.42137723544193,0.00598413071625324,-4.25271041492113,-0.0834315401511363,-5.85949002408065,-4.30257083131484,-6.69771677903645,-2.58547572940444,8.9463355033192,0.00302756173700015
"maintenance of location in cell (GO:0051651)",-0.109916719437633,0.0660912999646479,0.251034473572672,0.176008019402281,0.360951193010305,0.184943173608024,8,0.0773927035341428,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00581474525935837,0.00954078449149905,-1.37821618113418,0.828701033923726,3.147653744312,2.2069172150579,4.52586992544618,2.31895271038828,10.5879122222204,0.1965624452147,0.425560593828658,0.00970005773284992,0.0503955613113818,0.00095079287420699,0.0415048060272627,-5.92601534180374,-6.76997249742682,-3.37227230087415,-4.9446803112622,-0.907650209729127,-4.48747670801711,7.20424553147366,0.00653931826242774
"mammary gland alveolus development (GO:0060749)",-0.294549310232696,-0.737665558648197,0.0409122265126344,-0.443116248415501,0.33546153674533,0.778577785160831,8,0.184415467754895,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0461943343960514,0.0307116696283289,-2.05850499857338,-5.15529382347942,0.285921643179173,-3.09678882490604,2.34442664175256,5.44121546665859,10.5879122222204,0.0650113474255778,0.000356667659721129,0.780454430110287,0.010603534683436,0.0397057890657572,0.000232761501009217,-4.94511198164181,0.0530982226667929,-7.12335898747427,-3.4174068157756,-4.66457033426302,0.714235565970383,12.5982519134703,0.000804793942065953
"regulation of T cell mediated immunity (GO:0002709)",-0.302428286095395,0.1901735151016,0.543564419208312,0.492601801196994,0.845992705303707,0.353390904106712,8,0.161154631985946,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00496464342904628,0.0246381403673956,-2.35973957013783,1.48385580783901,4.24123842873695,3.84359537797684,6.60097799887479,2.75738262089794,10.5879122222204,0.0386610115984985,0.166994385096799,0.00150832424458737,0.00292460716807245,4.63137516516163e-05,0.0192515952242268,-4.45464865429181,-6.04462438988426,-1.47219136425604,-2.11080674596143,2.22349552530806,-3.74508846896927,15.2845995326652,0.000361717962232355
"positive regulation of lymphocyte mediated immunity (GO:0002708)",-0.246029406314966,-0.0945685206746088,0.388453058217341,0.151460885640358,0.634482464532308,0.48302157889195,8,0.153348664505374,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.004968137251218,0.0227831929870865,-1.99629791745923,-0.767334863370914,3.15193229445587,1.22896305408832,5.1482302119151,3.91926715782679,10.5879122222204,0.0722609140351634,0.459651867046249,0.0096277237525859,0.245699532784219,0.000360501339729009,0.00257454804761128,-5.04308835039072,-6.82018880864335,-3.36474336949997,-6.35296509694766,0.0953887762745609,-1.73481129782117,9.64732748570658,0.00228560453195792
"morphogenesis of an epithelium (GO:0002009)",-0.064607389369902,0.0396820331035866,0.296713416450247,0.104289422473489,0.361320805820149,0.257031383346661,8,0.0804709578231858,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00764448988183203,0.00990795375581343,-0.794942720357729,0.488255966575026,3.65082342345004,1.28319868693276,4.44576614380777,3.16256745687501,10.5879122222204,0.444101461897385,0.635322655544432,0.00405844600239384,0.226797722483905,0.00108144997786255,0.00945029188250234,-6.5388671225977,-7.00354711752959,-2.48879566971354,-6.28855643468704,-1.04046224360124,-3.0422122227134,7.60201798026925,0.00543044168822584
"negative regulation of stress fiber assembly (GO:0051497)",0.495421227273858,0.842184188159951,0.742041700291766,0.346762960886093,0.246620473017908,-0.100142487868186,8,0.309479059205514,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0329061109586955,0.0773824179632786,2.18121809757807,3.70793032591058,3.26702752471948,1.52671222833251,1.08580942714141,-0.440902801191103,10.5879122222204,0.0526791072417336,0.00368152324765888,0.00787498900278377,0.156135483150404,0.301665948577185,0.668150282777711,-4.7482589751811,-2.35652075473757,-3.16217643657736,-5.97564571045842,-6.4586290917233,-6.72958939150448,5.48069269309857,0.0158984353564769
"positive regulation of stress fiber assembly (GO:0051496)",0.255657786259882,0.536311074096412,0.509114683348768,0.28065328783653,0.253456897088887,-0.027196390747644,8,0.194319264433553,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0353857633000493,0.0335457783394822,1.70956539039433,3.58627391785529,3.40441359180775,1.87670852746096,1.69484820141342,-0.181860326047533,10.5879122222204,0.116448098357944,0.00453295090829838,0.00620268862780845,0.0883672457944263,0.119272021353354,0.859127130949832,-5.47563430514776,-2.56871635488079,-2.92054228991567,-5.46879186908249,-5.6861656385504,-6.81592906830621,5.63360414051295,0.0146033131575486
"positive regulation of cytoskeleton organization (GO:0051495)",0.299219239072337,0.633716745546111,0.639088858940787,0.334497506473774,0.33986961986845,0.00537211339467664,8,0.0360021447494079,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0140121741382437,0.00599449431813217,4.73324371897648,10.024541920385,10.1095214894188,5.29129820140853,5.37627777044231,0.0849795690337795,10.5879122222204,0.000684083934149365,9.84650383637369e-07,9.07506815160793e-07,0.000290714279011656,0.000256191269958889,0.933863147595275,-0.413932372109476,6.15262346723448,6.22267475002305,0.274938635062548,0.44944948070949,-6.82988809046633,47.001147068357,2.04670105498972e-06
"negative regulation of cytoskeleton organization (GO:0051494)",0.257361928501465,0.650654832549265,0.179699334237441,0.3932929040478,-0.0776625942640239,-0.470955498311824,8,0.0654504327416331,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0259466482495965,0.00825186453942265,3.46987545391441,8.77243672200968,2.42279156278435,5.30256126809527,-1.04708389113006,-6.34964515922533,10.5879122222204,0.00553871007753503,3.51476353144576e-06,0.034633837504395,0.000285867022801817,0.3183757930724,6.47116641371208e-05,-2.53982457636166,4.84966602396991,-4.63070583407398,0.29241636860401,-6.49912030344812,2.01881839426442,27.3995224981805,2.69710106249271e-05
"regulation of cytoskeleton organization (GO:0051493)",0.18142088571115,0.513833308844291,0.272767730820109,0.332412423133141,0.0913468451089593,-0.241065578024182,8,0.0601647684956873,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0101350342895075,0.0077501907332995,2.52392657855579,7.14844677367634,3.7947434932345,4.62452019512054,1.2708169146787,-3.35370328044184,10.5879122222204,0.0290151247987924,2.29783020757071e-05,0.00317659073826235,0.000812354671240143,0.231005226578934,0.00677289614039913,-4.17860347690731,2.90689725524302,-2.23823865629126,-0.791234811593472,-6.24953315127059,-2.70957957583414,17.6865105314045,0.000193506968978213
"regulation of stress fiber assembly (GO:0051492)",0.256022918571053,0.416757575826583,0.391358310951433,0.16073465725553,0.13533539238038,-0.0253992648751507,8,0.0942929572482459,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00180450332131974,0.0117331194224264,2.89479442847197,4.71218559361694,4.42500173188205,1.81739116514497,1.53020730341009,-0.287183861734882,10.5879122222204,0.0151174418107225,0.000707146058062327,0.00111831505036589,0.0975333276736653,0.155277539744782,0.779513849693208,-3.54123227445297,-0.657323650403178,-1.16299861246249,-5.55870997637482,-5.9172784330344,-6.78934929773762,9.31534796466001,0.00260629121969428
"positive regulation of filopodium assembly (GO:0051491)",0.231610001601926,0.326630638304281,0.492117182513388,0.0950206367023551,0.260507180911462,0.165486544209107,8,0.301394503969861,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00846846924807626,0.0736508864130819,1.04523501511765,1.4740545650211,2.22088039007966,0.428819549903448,1.17564537496201,0.746825825058563,10.5879122222204,0.319190663956964,0.169567386210496,0.0491949176156738,0.676648681991314,0.265495495609826,0.47142752400854,-6.30842939160347,-6.05767355396828,-4.96758408169759,-7.02117100887032,-6.36024172830116,-6.5398149200671,1.72023997859188,0.222465857394189
"regulation of granulocyte differentiation (GO:0030852)",-0.286173368374466,0.518776216529136,0.534546638123813,0.804949584903602,0.820720006498279,0.0157704215946766,8,0.293266863057061,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.01816495940512,0.0699990283663056,-1.32473447631148,2.4014839096673,2.47448728280123,3.72621838597878,3.79922175911271,0.0730033731339311,10.5879122222204,0.213139333207646,0.0359467717605777,0.0316401554408,0.00356863512159444,0.00315257960897497,0.943164246865273,-5.99264668401358,-4.63212207715428,-4.54306159140301,-2.31434938668087,-2.13885139875568,-6.8309110779868,6.9948754402125,0.00723026253762843
"negative regulation of granulocyte differentiation (GO:0030853)",-0.636839835407121,-0.562055293153739,0.0713527194543347,0.0747845422533817,0.708192554861455,0.633408012608074,8,0.244364342155286,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0311692036262788,0.0501337172843593,-3.48346055495849,-3.07439537313967,0.390293398573752,0.409065181818821,3.87375395353224,3.46468877171342,10.5879122222204,0.00541033402477633,0.0110279540302,0.70405699638355,0.690644173185503,0.00277950290288514,0.00558854624676894,-2.51622637006449,-3.46744564404445,-7.0853843686794,-7.03002278836111,-2.01013404959919,-2.51682770550712,8.15268426427078,0.00424163706622254
"regulation of cellular amine metabolic process (GO:0033238)",0.176434336819585,0.0864545445415022,-0.261316435305448,-0.0899797922780832,-0.437750772125034,-0.347770979846951,8,0.0593522650777063,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0107988094072076,0.00767681800693213,2.46625578179837,1.2084893688027,-3.65276499500215,-1.25776641299566,-6.11902077680052,-4.86125436380486,10.5879122222204,0.0320992827694067,0.253156718748831,0.00404499641122553,0.235508547463926,8.86075367604913e-05,0.000559962700870785,-4.27612305398493,-6.38807186115976,-2.48540625105352,-6.3190147862249,1.55083021973652,-0.182088179776732,13.9236236417774,0.000534323271912045
"regulation of epithelial cell differentiation (GO:0030856)",-0.104832379279084,0.0968074392545658,0.302948459771264,0.20163981853365,0.407780839050348,0.206141020516698,8,0.119137499201092,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00045513775484708,0.0157396369061225,-1.02339600535019,0.945054832320029,2.95744736205529,1.96845083767022,3.98084336740548,2.01239252973526,10.5879122222204,0.328934481285558,0.365698148457952,0.0135408325668477,0.0757461156343317,0.00232200310971686,0.0703156759867875,-6.33062190331134,-6.66557972906866,-3.70652459379553,-5.32695197695661,-1.82603285174214,-4.98235779093235,5.74309987151018,0.0137523133447484
"negative regulation of epithelial cell differentiation (GO:0030857)",0.338813900364396,0.707191747463163,0.648375155737438,0.368377847098767,0.309561255373041,-0.0588165917257254,8,0.203771432570668,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0047968091688616,0.036388884797436,2.17531661068656,4.54044522241429,4.16281989822501,2.36512861172773,1.98750328753845,-0.377625324189282,10.5879122222204,0.0532172994085129,0.000928863775856988,0.00171604464931923,0.0382997170684738,0.0733450539127637,0.713169001969818,-4.75782661864521,-0.939738064477647,-1.60529776944208,-4.68224208229399,-5.24413230338375,-6.75716655248166,8.72721970549835,0.00331597195280566
"positive regulation of granulocyte differentiation (GO:0030854)",-0.116998990175823,1.04075687495233,0.927761204005079,1.15775586512815,1.0447601941809,-0.112995670947246,8,0.215794920852744,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.000915916675246743,0.0402005152893115,-0.714680500578032,6.35739371128916,5.66716721827096,7.07207421186719,6.38184771884899,-0.690226493018198,10.5879122222204,0.49026400851428,6.40398358419045e-05,0.000167493272824788,2.52824200287929e-05,6.19682010404121e-05,0.50490018073294,-6.6010788202842,1.84064075896645,0.811032642817749,2.81519063951493,1.92168626855294,-6.58174623196703,27.3771056457483,2.70736907332667e-05
"epithelial cell differentiation (GO:0030855)",0.103266190780047,0.0962034620217153,0.296926280260672,-0.0070627287583313,0.193660089480626,0.200722818238957,8,0.0330695999973679,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00357813799694224,0.00584144735036732,1.65479253667645,1.54161560287485,4.75810513399319,-0.1131769338016,3.10331259731674,3.21648953111834,10.5879122222204,0.127271252748414,0.152505599041671,0.00065787566234451,0.912007595722077,0.0104830365459214,0.00860060225100724,-5.55414377125228,-5.96659355395949,-0.613078799100457,-7.11332910998414,-3.35525431665531,-2.94833394658184,7.95727407856717,0.00462432222471147
