"","ConditionD...ConditionC","ConditionD...ConditionB","ConditionD...ConditionA","ConditionC...ConditionB","ConditionC...ConditionA","ConditionB...ConditionA","AveExpr","F","P.Value","adj.P.Val"
"Spliceosome_Homo sapiens_hsa03040",0.645571695829641,0.671112252938661,0.277408339810909,0.0255405571090196,-0.368163356018732,-0.393703913127751,0.0098903587736307,52.3046537202186,4.95849856746487e-07,3.70840926657165e-06
"Chemokine signaling pathway_Homo sapiens_hsa04062",-0.748290058093536,-0.0691960923714347,-0.302336665641569,0.679093965722101,0.445953392451967,-0.233140573270134,-0.0292104959355661,52.2857868609656,4.96814186158501e-07,3.70840926657165e-06
"Peroxisome_Homo sapiens_hsa04146",-0.418714586340556,-0.491887860105834,0.0256513158038761,-0.0731732737652779,0.444365902144432,0.51753917590971,-0.0161115685243824,52.2612755270342,4.98070302258296e-07,3.70840926657165e-06
"Estrogen signaling pathway_Homo sapiens_hsa04915",-0.530440519450929,0.0942734935061057,-0.418091402551835,0.624714012957034,0.112349116899094,-0.51236489605794,0.00160200022419621,52.111542122583,5.05824905357078e-07,3.70840926657165e-06
"Collecting duct acid secretion_Homo sapiens_hsa04966",-0.285164007317074,0.679385802841332,0.805561491840609,0.964549810158406,1.09072549915768,0.126175688999277,-0.0114559921169221,51.7856937303811,5.23194727078389e-07,3.70840926657165e-06
"Complement and coagulation cascades_Homo sapiens_hsa04610",-0.724534284986395,-0.102339451284453,-0.426910315123677,0.622194833701942,0.297623969862718,-0.324570863839224,-0.0112618742865142,51.6884928012634,5.28510865168502e-07,3.70840926657165e-06
"Salmonella infection_Homo sapiens_hsa05132",-0.774378490576339,0.0695583207840745,-0.534548483778891,0.843936811360413,0.239830006797448,-0.604106804562965,0.00204460249167026,51.4245501187366,5.43268879296306e-07,3.70840926657165e-06
"Huntington's disease_Homo sapiens_hsa05016",0.0782465009397386,-0.0813565542412612,0.508614864252987,-0.159603055181,0.430368363313248,0.589971418494248,-0.000727710365602239,51.1359337221502,5.59962557843119e-07,3.70840926657165e-06
"DNA replication_Homo sapiens_hsa03030",0.864518754717072,-0.150490461546758,0.236495135061028,-1.01500921626383,-0.628023619656044,0.386985596607786,0.0092698929407464,51.0571830338776,5.64621427756188e-07,3.70840926657165e-06
"cAMP signaling pathway_Homo sapiens_hsa04024",-0.593606406312653,-0.0622135013910963,-0.179116528878078,0.531392904921556,0.414489877434575,-0.116903027486981,-0.0239297542361322,50.9097644296568,5.7346535050077e-07,3.70840926657165e-06
"Primary immunodeficiency_Homo sapiens_hsa05340",-0.96667244508237,-0.559843289942202,-1.0691936008171,0.406829155140168,-0.102521155734728,-0.509350310874896,0.0431653775029839,50.4347845648074,6.03084887682862e-07,3.81516744164593e-06
"Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141",-0.63221132664531,-0.164050692823409,-0.621201564192883,0.468160633821901,0.0110097624524272,-0.457150871369474,-0.000267335440772019,48.2302646989275,7.66379152046827e-07,4.74502836692823e-06
"Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120",-0.817610980091765,0.0715658799893787,-0.191953815185919,0.889176860081143,0.625657164905845,-0.263519695175298,-0.030794043596481,48.0111231291216,7.85283442275864e-07,4.76078086879743e-06
"Leukocyte transendothelial migration_Homo sapiens_hsa04670",-0.517913574120397,0.153521163073198,-0.0554496525065411,0.671434737193595,0.462463921613856,-0.208970815579739,-0.00291778184000299,46.6512836543647,9.1559914654827e-07,5.43753778868462e-06
"Glycosphingolipid biosynthesis - ganglio series_Homo sapiens_hsa00604",-1.30062050833162,-0.473445560126168,-0.580081327442775,0.827174948205453,0.720539180888847,-0.106635767316607,-0.0786274018109496,46.4353029012606,9.38554899393218e-07,5.45113757416722e-06
