"","ConditionA_rep3","ConditionB_rep3","ConditionC_rep3","ConditionD_rep3","ConditionA_rep2","ConditionB_rep2","ConditionC_rep2","ConditionD_rep2","ConditionA_rep1","ConditionB_rep1","ConditionC_rep1","ConditionD_rep1"
"positive regulation of leukocyte mediated immunity (GO:0002705)",0.124707623603116,-0.0169838696152078,0.236413134474513,-0.403626203306949,0.31291441669268,0.261624160889445,-0.206662736568791,-0.294961154355887,0.341745981293419,0.00782964566902947,0.161810247770002,-0.44616382762422
"negative regulation of leukocyte mediated immunity (GO:0002704)",0.179749244442916,0.0546919966722536,0.262633982528871,-0.382432794666402,0.255379629233637,-0.332698759664007,0.43826087971161,-0.315074328106451,0.00634330948587786,-0.130226738885611,0.273351362357102,-0.442293723005783
"regulation of leukocyte mediated immunity (GO:0002703)",0.0746623654119735,-0.04099154566737,0.209455047243255,-0.355412388229579,0.228774449039322,-0.0571351097378945,0.213221335276505,-0.266890140869611,0.146195172593334,-0.0670402583348229,0.224138488496835,-0.36131267076573
"positive regulation of production of molecular mediator of immune response (GO:0002702)",0.272491234656211,-0.149014263954061,0.257238183545663,-0.241005485438686,0.131671206100864,0.137124085858521,-0.0622758820083512,-0.157240109895593,0.253443088942548,-0.0520319463823718,0.186314348494023,-0.329774619166908
"negative regulation of production of molecular mediator of immune response (GO:0002701)",-0.203255040143033,0.290551404226136,0.218681274100611,-0.361141665862241,-0.336535304251408,0.20087237058836,0.0810982314662503,0.201613309826899,-0.278503170718403,0.411675757256846,-0.194967462181391,-0.225800036692632
"regulation of production of molecular mediator of immune response (GO:0002700)",0.0827947406612681,-0.00800000817036048,0.150597757243286,-0.17479995055666,0.00952145213542029,0.0915518021657747,0.126927094951031,-0.130918528743369,0.0616283312341643,0.132458589013552,0.106790874146187,-0.265236160121642
"regulation of steroid hormone secretion (GO:2000831)",0.251268565751888,-0.485826331094464,0.476428192749626,-0.0880843724786131,-0.0222546529833772,-0.417159694614975,0.602350132545521,-0.238251730956147,0.0636753248924661,-0.395602660760801,0.688510316808493,-0.235596601525373
"establishment of mitochondrion localization (GO:0051654)",-0.0761586110824079,0.0852180110995057,0.0534950941792841,-0.0358024587576657,0.0470941805914215,-0.269554606407033,-0.253781173355558,0.506929623625349,-0.502185374852407,-0.46909367815124,0.393144444573079,0.226476954661878
"positive regulation of steroid hormone secretion (GO:2000833)",0.0645001107911011,-0.472658259336274,0.52157060131467,-0.0828186560382854,-0.42371080527842,0.0952305748578592,0.603636558858975,-0.265526588136075,0.0615326422116989,-0.0945988629185573,0.604251974255284,-0.234356449793695
"establishment of organelle localization (GO:0051656)",0.0785052747146178,-0.146111601987485,0.136867433483828,-0.0564934271444638,-0.0695063917933104,-0.265573333930346,0.21650862808896,0.146195800780001,-0.0587762118450866,-0.251690635705602,0.184715816538548,0.0587858832679835
"maintenance of location in cell (GO:0051651)",0.150648041673427,0.0149547724025566,0.0328863958882242,-0.179801143151036,0.117659136208779,-0.0905767076610196,0.189011222553982,-0.185666341669065,0.234294006783532,0.0501990617173598,-0.0490465920893659,-0.214784909545075
"mammary gland alveolus development (GO:0060749)",-0.221118402885764,0.461837416672612,-0.216356766000249,-0.565162619221203,-0.114849027863245,0.486944318609763,-0.357276881202607,-0.232259910078821,0.337555376482749,0.382154955697867,-0.308426337761492,-0.207374135202228
"regulation of T cell mediated immunity (GO:0002709)",0.240126320481762,-0.0990547235039198,0.296384092632556,-0.422209076263705,0.45450268611707,-0.0108001270490499,-0.164482266622811,-0.309329768114869,0.521244157561101,-0.15207738887808,0.176686479864004,-0.590566107372613
"positive regulation of lymphocyte mediated immunity (GO:0002708)",0.129010843713903,-0.0158219711018095,0.198900822856164,-0.397786275854114,0.306582845482924,0.270057527576716,-0.236862566840803,-0.274493880256209,0.353290289922551,0.0802657657233987,0.0887575041591181,-0.442283258367222
"morphogenesis of an epithelium (GO:0002009)",0.163616634955498,-0.0450180305646229,0.0158752328207305,-0.0982941191866035,0.135182430473929,0.14437410018651,0.0955615673277049,-0.325230718420565,0.121797617463724,0.00837234585079794,0.11533771463501,-0.239840896960128
"negative regulation of stress fiber assembly (GO:0051497)",-0.123162751386927,-0.316230295058007,0.59269600151319,-0.286465184545324,-0.449403701393005,-0.274800393447184,0.28567586981084,0.048071975255535,0.547319774876453,-0.474504872056568,0.582645132594065,-0.526714887667413
"positive regulation of stress fiber assembly (GO:0051496)",0.143710696036639,-0.252195544663125,0.436640928794556,-0.230961448371264,0.181434707136002,-0.434295758212742,0.515534451968806,-0.0677705847490986,-0.0101488142733421,0.159528028265575,0.129794566915583,-0.146642069246998
"positive regulation of cytoskeleton organization (GO:0051495)",0.0978640862681838,-0.222828063696914,0.407096659854464,-0.243444769451517,0.0348191430496029,-0.255447657051669,0.395663560026898,-0.238238358375106,0.106641163719898,-0.285892405635053,0.334221890373334,-0.298601338741045
"negative regulation of cytoskeleton organization (GO:0051494)",-0.0509105743686342,-0.285514344726745,0.29518527239627,0.203448289114999,0.098884478998506,-0.353044998456688,0.326251203593004,0.0724256787342036,0.0735673260806504,-0.419778138249444,0.272190540225645,0.0786550456533911
"regulation of cytoskeleton organization (GO:0051493)",0.0330533055241018,-0.243129183688727,0.278415637597131,0.0874030062057893,0.12495333523958,-0.288948748830293,0.225817748767377,-0.0284267820059808,0.054152249003053,-0.253000447113668,0.252188160535678,-0.120857869759951
"regulation of stress fiber assembly (GO:0051492)",-0.0319744676864395,-0.125910441670362,0.312983193719813,-0.0981305187294709,-0.000562675951814612,-0.297512709714414,0.299658005616323,-0.042455086742827,0.0679860019008562,-0.0233319621192125,0.190876414639624,-0.229971713406239
"positive regulation of filopodium assembly (GO:0051491)",0.10678609196215,-0.397660875703561,0.431074099075609,0.0591752062014687,-0.304506489961023,0.345470447980352,0.288897411962956,-0.549145703071919,0.31606416775202,-0.11452771263071,0.0932022635203608,-0.173207276110789
"regulation of granulocyte differentiation (GO:0030852)",0.431917314328186,-0.764229754148924,0.495188866896067,-0.525565796365633,0.402009310655787,0.188483655380482,-0.00913228997838639,-0.334895043629055,0.545460716632927,-0.459715314325464,0.0348106595758212,-0.222311837883248
"negative regulation of granulocyte differentiation (GO:0030853)",0.253992052430645,0.165560409282543,0.0595520871002372,-0.536221505883159,0.331779139743158,0.676843574812034,-0.375172504229557,-0.168475906379724,0.572599118096501,0.0916126994155823,-0.436528778821737,-0.261509942051178
"regulation of cellular amine metabolic process (GO:0033238)",-0.197251516502906,-0.0665070805056882,0.0862833822690802,0.215130906944644,-0.071753693539551,-0.0825344150391696,-0.0110781980664983,0.283276620100671,-0.226722037652947,-0.0767463753162965,-0.0416294214392298,0.319117541634383
"regulation of epithelial cell differentiation (GO:0030856)",0.255306477438321,-0.134481642247684,-0.0696788205824491,-0.168633023636451,0.170042426149138,0.176815742891319,0.0883879368184415,-0.262460227648737,0.111706287324392,-0.110198365332731,0.203848936838608,-0.255194074954003
"negative regulation of epithelial cell differentiation (GO:0030857)",0.278389845414843,-0.493952977360522,0.422299438160038,-0.143115153757846,-0.169773918931658,0.0413967451414269,0.259263332667725,-0.285615539792879,0.13133754759079,-0.412623835003231,0.5748324043394,-0.259999598494425
"positive regulation of granulocyte differentiation (GO:0030854)",0.565716245688407,-0.872779719634045,0.708557975721591,-0.562573535673611,0.516542281167804,-0.230952284706635,0.20120875647336,-0.349942380878326,0.660125510283182,-0.627151553904369,0.481620334416975,-0.479380628851373
"epithelial cell differentiation (GO:0030855)",0.0597730138188102,-0.012420227986558,0.106679178537954,-0.199642287307365,0.00424352328888819,0.0223039884406857,0.13915988578994,-0.135858502177236,-0.0122525736418392,0.0630683892867254,0.115723471478105,-0.193715515491418
"regulation of protein sumoylation (GO:0033233)",-0.319832815219036,0.149939322205382,0.261850170285635,0.024024024024013,-0.00753725775236497,-0.0760339056305496,-0.327702706277649,0.454875928560172,0.105225362662438,0.0990181943060374,-0.496731903514207,0.201741817668177
"extracellular fibril organization (GO:0043206)",0.161115679149289,0.0747651155245191,-0.236459880363375,0.209114294008948,0.40577941909141,0.0399684044233605,-0.410050365984623,-0.242475903653911,-0.178402161554577,-0.371672365195315,0.263694354782896,-0.0991622683233107
"positive regulation of epithelial cell differentiation (GO:0030858)",0.379245863507276,-0.397159427347075,0.333983024177133,-0.250358888425686,0.229560550130168,-0.030237217872193,0.470011119563075,-0.392139941281036,-0.00995588687038002,-0.350731302549049,0.36900321066432,-0.110692507456779
"regulation of mitosis (GO:0007088)",-0.0013327250814883,0.206223631527962,-0.347315927280017,0.22916983193492,-0.0467932099050652,0.0518423667378027,-0.315160965541534,0.36452853595555,0.0439714455607731,0.141253895127262,-0.318547502263737,0.208850833278866
"protoporphyrinogen IX metabolic process (GO:0046501)",-0.230333377222867,0.0734425025748141,-0.469530090570217,0.549674235079582,-0.609849514475637,0.332837811087795,-0.478967299754867,0.559926897777608,-0.452527800834898,0.373676474324866,-0.354648589995255,0.559590811570343
"S-adenosylmethionine metabolic process (GO:0046500)",0.228293425377627,-0.0589730733138376,-0.297339153757657,-0.174920246514051,0.291339228964252,-0.479464087443481,0.423488027364647,-0.0321785450519613,0.282825090851642,0.269981883958728,0.379353403865455,-0.537799567823892
"positive regulation of protein sumoylation (GO:0033235)",-0.510882907679842,0.276309338981847,0.406175560964252,0.0240164322957895,-0.183266663622889,-0.0482741869293283,-0.264429112728171,0.510016347000539,0.00170561557535842,0.24371267994711,-0.372305225411381,0.0840920715194247
"generation of neurons (GO:0048699)",0.786639292482613,0.352183401051684,-0.714345456364704,-0.546272899557928,0.637105302514222,0.159810520327346,-0.648560424655115,0.294802040156274,0.834485134052181,-0.201889248326466,-0.290768749196946,-0.602057762057438
"base-excision repair (GO:0006284)",0.0893609450226462,0.239973745163877,-0.287857840478744,0.0347004774107725,-0.0799226690884917,0.0686024589674878,-0.403932890592684,0.353517080522264,0.0853647600043323,0.339054627262476,-0.354089260527844,-0.0787736129363071
"pH reduction (GO:0045851)",0.118303115053993,-0.0673865792651487,0.310389006123909,-0.190403437563066,0.397072212106438,-0.343470269983035,0.0672381760629394,-0.222716971206901,-0.457494915384254,0.279567190856679,0.259914637492485,-0.122289485127135
"regulation of DNA repair (GO:0006282)",0.0625398170161803,0.0700710849155203,-0.176298036180224,0.12418851385449,0.0532619160353317,-0.0420726509896175,-0.0284276525816441,0.160980915322356,0.198494295236348,-0.0293358543953922,-0.125131137609935,-0.138747541435298
"transcription-coupled nucleotide-excision repair (GO:0006283)",0.0782141619498506,0.309054811927845,-0.469583965769565,0.191532258311574,-0.110448464773832,0.219453577681233,-0.328417318325583,0.151898406876496,-0.203681826731594,0.437093249696874,-0.34898540755722,0.120584970731307
"DNA repair (GO:0006281)",0.179890841794907,0.0702667634101221,-0.278506016877165,0.223360739732786,0.0178152692196205,0.0421884110392555,-0.238610120079222,0.146993778028404,0.11764220672595,0.102906308845607,-0.246734867086592,-0.0084201208148256
"social behavior (GO:0035176)",0.314145356780378,-0.24661947307695,-0.216695280262642,0.0223582298043655,0.61013156563734,-0.624380834058936,-0.359689563204017,0.0125049164672493,0.305471848707905,-0.277431000854908,0.240792268169094,-0.192464659788647
"organic acid transport (GO:0015849)",-0.268502613379682,0.168917385207714,0.0687466731679604,-0.227179190338661,-0.0958246386095517,0.103888374028716,0.0972084224849212,-0.106400857212115,-0.159372442325174,0.235359371027698,0.0526563565726676,-0.066843352276954
"regulation of hydrogen peroxide metabolic process (GO:0010310)",-0.409736497447428,-0.273051603441918,0.388942527343763,-0.0145339652448584,-0.547467087323376,0.111757391757159,0.451876057357668,-0.218205249970619,0.0303317535544964,0.178424043587918,0.168151456567628,-0.11970519050286
"microtubule polymerization or depolymerization (GO:0031109)",0.628347149871318,-0.395826388216476,-0.0626484384202368,-0.182505826419117,0.0862429061509627,0.0742984807870866,-0.510995363475904,0.355706321395487,0.599202656546255,-0.242087533303652,0.289979023104689,-0.350489008414168
"nucleotide-excision repair (GO:0006289)",0.070284431222454,0.198257140330048,-0.322736087385229,0.130823059022739,-0.0562405084702892,0.0781268419502253,-0.335751980682689,0.260984922138776,-0.184636631153317,0.405890339098484,-0.341050817145057,0.121129556392563
"defense response to fungus (GO:0050832)",-0.267286644560155,-0.291571000619778,0.0613339376728547,0.574064458335897,-0.458709113360739,-0.255233468015429,0.164738695693256,0.552705232718151,-0.333838761670487,-0.381159959918789,0.212501121101716,0.505709198820304
"defense response to Gram-positive bacterium (GO:0050830)",-0.0495600433701592,-0.068960687829031,0.288511177855427,-0.214589548301422,0.0334910884055352,-0.286228686869723,0.333901374477969,0.231636236858778,-0.0952515124598287,-0.446852685264517,0.509870041928772,-0.062618570416605
"embryonic morphogenesis (GO:0048598)",-0.05118092514919,-0.00209972796901767,-0.133618683432943,0.284775533298055,0.0638158990051019,0.128260401257246,0.0214458629586451,-0.195994671388591,0.241497589044654,-0.0153994216902601,-0.181044387853046,-0.0444859382511562
"regulation of acute inflammatory response (GO:0002673)",0.0482169948719652,-0.107441500850734,0.404414317138511,-0.435256463274048,0.104135145477875,-0.0132742558889355,0.0700514008910358,0.0233084445793151,0.15632460342739,-0.173521236753892,0.21900544508558,-0.208301470627501
"neuron projection guidance (GO:0097485)",0.0698018846813798,-0.238648434172416,0.308090881258171,-0.0855271873744567,0.143123460434462,-0.241486222445761,0.253287903920844,-0.169361136139563,0.0049654760371543,-0.255210524367473,0.354761359416512,-0.192382105714163
"positive regulation of acute inflammatory response (GO:0002675)",0.394713356625948,-0.594971349610291,0.653816822383031,-0.46941034804614,0.269896726142667,-0.000211482215137837,0.242320623527298,-0.279688137116593,0.643755863632027,-0.58682894728876,0.572942168421595,-0.111256057528923
"negative regulation of acute inflammatory response (GO:0002674)",-0.467153265693059,0.30567190370229,-0.0535957892498568,-0.0516506081187691,0.00198094987944575,-0.304300508600422,0.382540939172947,0.0999842047070073,-0.36303237067107,-0.0554703746273705,0.327228661799517,-0.140420154793859
"tyrosine metabolic process (GO:0006570)",-0.284756617047029,-0.0471609124131986,0.628548179023976,-0.13236455536249,0.31255239024676,-0.121943104824088,0.310936349955012,-0.633036116826567,-0.212728376084349,-0.553044467059699,0.702673207087993,-0.35833356590354
"nitrogen compound transport (GO:0071705)",0.00631174656501085,-0.00995972139785059,-0.0815499111846778,0.0135496523091753,0.050734536315075,-0.0716063035430904,-0.0335029559356322,0.0312401311140738,0.0318751467506651,-0.0108508830890051,-0.00533247511732313,0.00408566137594582
"neuron recognition (GO:0008038)",0.766485692022301,-0.634646870228742,0.519630379752102,-0.576980239775212,0.105828463118,-0.273973318987229,0.446878666580345,-0.556754359296626,0.779393335831182,-0.12636234402147,0.499978939609333,-0.847113833724106
"valine metabolic process (GO:0006573)",-0.619549313665149,0.621053420327962,-0.466903310296234,0.0316295975829603,-0.545911035971176,0.815897597977226,-0.610906020273338,-0.478394582666946,-0.0720606826801459,0.644024842294549,-0.513991353003037,-0.24964559074367
"T-helper 1 type immune response (GO:0042088)",0.366750427233201,0.205929776527013,-0.19614164856016,-0.494655596727867,0.187342930300554,0.0747032996002811,0.310134318103877,-0.3582291853922,0.575642433078441,-0.284538473248087,0.022331056597797,-0.0268005684945514
"cellular modified amino acid metabolic process (GO:0006575)",-0.0471630945901848,-0.125948455503663,0.0753355274667012,-0.0706971765499429,0.0991636057482392,-0.00763978734838536,0.0237688329697583,-0.00423462247542458,-0.00775978463608903,-0.00461563945011009,0.0348596494341783,-0.0726644053756003
"cellular biogenic amine metabolic process (GO:0006576)",0.298722328139178,-0.161232231474545,0.315120863773135,-0.440711400613445,0.272561874144314,-0.208926505589059,-0.0242079877364509,-0.0994894489340203,-0.0514168941124446,0.12048208043659,0.232402843811777,-0.211198899385402
"amino-acid betaine metabolic process (GO:0006577)",-0.266131617633755,-0.00379930373572318,0.340314796850008,-0.0465639564503643,-0.476371055731633,0.265133254122425,0.0941845764854681,-0.0341544133562762,0.0531358418724281,0.0125237456307662,0.217265421602443,0.0826398136114074
"central nervous system neuron axonogenesis (GO:0021955)",0.240621949134465,-0.0216446825691616,0.545701852843521,-0.252878066312819,-0.407258130580816,-0.44234767145876,0.0420929036340936,0.65037647386649,0.259360656777706,-0.0491311216429765,0.0394944707740788,-0.327843024459311
"regulation of nuclear division (GO:0051783)",0.0947943004366461,0.15222681111087,-0.340539097978043,0.191773700909847,-0.015690306540468,-0.009910571500026,-0.276731666410108,0.34879723384562,0.0905246510556306,0.107259151922797,-0.250726248247265,0.163294594770659
"negative regulation of cell division (GO:0051782)",0.195986943937205,0.160537401634149,-0.381027227818608,0.179917386867781,0.114545747501431,0.0465917402762641,-0.231552424784001,0.21808006750353,0.0761535729351331,0.378681385027227,-0.5186095674648,0.0925719405110347
"positive regulation of cell division (GO:0051781)",0.150860350142582,0.0981312235977217,-0.359976889085295,0.196870825145546,-0.145097362174864,0.0738784396371446,-0.276932318968886,0.413259980432121,0.138608676808519,0.124021081254837,-0.221378809324086,0.0882367788342701
"extracellular matrix organization (GO:0030198)",0.0575385604160789,0.0130562105509017,0.17249324356019,-0.218352682380694,0.0237860886100882,0.136909248678027,0.184407590376819,-0.325227610821539,0.0604229843275553,0.0912838235670874,0.19703541551049,-0.321485416573738
"epithelial cell differentiation involved in prostate gland development (GO:0060742)",-0.465815366180557,-0.117091271713646,0.120059518708909,0.273814738835068,-0.172167661023797,0.649443929699642,-0.48604493552719,-0.0906793048973184,-0.231489916249457,0.538839841103282,-0.495184284212386,0.174725804170975
"positive regulation of nuclear division (GO:0051785)",-0.0604245022055703,0.226413697317108,-0.283266564819971,0.121373018356975,-0.294881176745642,0.0835551229957462,-0.300191354444551,0.486432484751139,-0.122870539917981,0.151577213072953,-0.000175952946558117,0.0645615232633023
"negative regulation of nuclear division (GO:0051784)",0.204865040640433,0.148535693439563,-0.380538545897028,0.159428055008759,0.110130975087959,0.122634910601487,-0.3596637411507,0.223780757884312,0.172012850721808,0.376593446310543,-0.534965856228211,0.0760498398058825
"cell communication by electrical coupling (GO:0010644)",0.149538345610045,-0.362326687408877,0.18662469698819,-0.214428046640195,0.250677987216188,-0.496561403688795,0.401725911659801,0.0515647182479492,0.313351852567504,-0.221862718283373,0.471262803495442,-0.264943374654009
"mRNA polyadenylation (GO:0006378)",0.177642439240464,-0.0304145353728266,-0.247609886543252,0.103248331622368,-0.0829300497692408,-0.112179006411148,-0.326085211842873,0.338906882724297,0.295109934471416,-0.152719471961536,-0.240792917629142,0.0972904929811349
"mRNA cleavage (GO:0006379)",0.233776462038563,0.0429361210912274,-0.319101350773265,0.193997960597321,-0.0595058334576271,-0.0913705172975943,-0.21426199038805,0.120674626189549,0.39559068029788,0.127823397552953,-0.535210289879315,0.485216121834111
"heme transport (GO:0015886)",-0.562541169960375,0.713676563487012,-0.742622042716943,-0.26563023864813,0.369267185829719,0.771413431570842,-0.616586100705734,-0.511359432385892,-0.394313409185365,0.742735312697379,-0.351741377716931,-0.700202571199963
"regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)",0.691248637174414,-0.0117848401193872,0.452672549152175,-0.794637224391457,0.234292776755081,-0.248570004720507,0.297912368576231,0.0843468646343468,0.419886976725435,-0.608592639393442,0.712908515735552,-0.157163165376705
"positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)",0.098389134554607,0.318660021225869,0.507147653062147,-0.889646296994258,0.261343888726932,-0.237816284201627,0.408532364595509,0.0843335439040014,0.270016530085965,-0.608496525584468,0.681238916943258,0.0633291219203827
"regulation of cell aging (GO:0090342)",0.180382822787056,0.335202121366856,-0.362447697320882,-0.229591041412335,-0.177286328197332,-0.0114907039130691,-0.06533505377268,0.342383216479744,0.370115721025178,0.237537472088902,-0.436335480436687,-0.217190008448538
"regulation of respiratory burst (GO:0060263)",-0.235451020358125,-0.287754484642704,0.558485039523346,0.458430756128203,-0.123203285420934,-0.413886562869697,0.652537747991171,0.141224070778873,-0.395274842934616,-0.0654742159960803,0.349705568837236,0.159178387806945
"negative regulation of cell aging (GO:0090344)",0.746841440303201,0.472041810084664,-0.613460745786109,-0.671697802733624,0.46115756169056,-0.140061238140789,0.123183828174361,-0.245158111836418,0.770846493998711,-0.13491004802103,-0.396441157987677,-0.587650031585716
"activation of protein kinase A activity (GO:0034199)",0.472787655281105,-0.253644100076014,0.225566839261252,-0.329342605481387,-0.196428571428574,-0.469662364217887,0.526884155803714,-0.199013815153383,0.543762376861331,-0.459647941770903,0.511435673162109,-0.507697166373087
"epithelial cell migration (GO:0010631)",0.0787202584428835,0.0595623480233499,0.287521787734119,-0.171389065993595,-0.308303138735868,0.381286860673578,0.134890489685262,-0.111507979379727,-0.0133799806673003,-0.101149716609348,0.198888837679488,-0.293480820408014
"positive regulation of respiratory burst (GO:0060267)",-0.422679531972654,0.0568116562982937,-0.226117164061336,0.758102400126324,-0.413476967054092,-0.118871838564031,-0.208274119690579,0.823344076653718,-0.572444279413618,0.334069668788106,-0.14874467077221,0.54291504300669
"embryonic organ development (GO:0048568)",0.145814258674392,-0.176816115009319,-0.0301128723787745,0.128193960556342,0.0557893415046608,0.19166582455031,0.0240288648330578,-0.300434271191596,-0.194039102177022,-0.166277424189485,0.0682759614815504,0.136458706188746
"thyroid hormone generation (GO:0006590)",-0.597978840991729,-0.583972632020524,-0.136627297672036,0.778304121269529,-0.875414495499881,0.818727301436917,-0.0185695798322946,0.0555818727300996,-0.966326845641478,0.606140995524639,0.0194220748460013,0.360650560555792
"polyamine biosynthetic process (GO:0006596)",0.632884887786748,0.431634262054487,-0.66776163272002,-0.694868592245079,-0.209409656501783,0.114021293777132,0.676167449599161,-0.677531400344575,0.512869098373583,0.590790248172408,-0.506056985371405,-0.494868150955403
"cytochrome complex assembly (GO:0017004)",0.254867089406405,-0.346664210696298,-0.213143869560124,0.584023945692792,-0.14893930317267,0.152869672813705,-0.250687873771824,0.177391299269611,0.13610496364212,-0.450078199253021,-0.244572855028173,0.31737050701405
"polyamine metabolic process (GO:0006595)",0.50569989866906,-0.279313764023268,0.00658017840003144,-0.491209519223297,0.211614375745696,-0.435874215329187,0.430935623726296,-0.100725661096448,0.377073343884848,-0.280392145733166,0.113496087344625,-0.0755932283348257
"regulation of glucose metabolic process (GO:0010906)",0.0124767162529192,0.0946420342081706,0.0787951036746407,-0.264910636613924,-0.0898785143431501,-0.0219865920059628,0.186713106322173,0.0181577466351266,-0.134657378394986,0.0752534892151361,-0.000174136339721187,0.0733411747365915
"positive regulation of glucose metabolic process (GO:0010907)",0.228260591832938,0.0986707712469042,0.0595329066845944,-0.357863407521049,-0.122294594787997,0.069636083027457,-0.0868728285485363,0.133545172389758,0.342395094916141,-0.156223553801149,-0.260228486495132,-0.0118577075098934
"histone H3-K9 modification (GO:0061647)",0.306213383124666,-0.184266617430636,0.0516290657192889,-0.549329633615498,0.366370858360238,-0.238754491533355,0.195304200468175,-0.227898431608446,0.483617401248789,-0.413275928504557,0.0268689742373812,-0.181867430637692
"cytoskeleton-dependent cytokinesis (GO:0061640)",-0.180031629786568,-0.0363635796407679,-0.0343191112490548,0.251326058947954,-0.295995072133386,0.00828757767977145,0.0187706332469578,0.375257822424906,-0.257903673715994,-0.0960536562909406,0.0127148111655709,0.253839451354425
"lymphocyte proliferation (GO:0046651)",0.275721459415768,-0.274748268391995,0.445129000940118,-0.308932864108599,0.0746927632950977,-0.162651067951401,0.102512808648733,-0.0801095990227647,0.149221855528235,-0.31586704576845,0.417661774513597,-0.28400657921372
"tetrahydrofolate metabolic process (GO:0046653)",0.137310351986445,0.587937776142078,-0.689342145469652,-0.330871220906177,0.328004246583262,0.374717004157958,-0.43438399066221,-0.107123716001208,0.191891417036378,0.363850898100016,-0.550978712363608,0.162957635344294
"regulation of response to oxidative stress (GO:1902882)",0.019698841756749,0.0923234927267211,-0.0137425588289542,-0.180382760787608,-0.0371532253847341,0.143417935107157,-0.310507293418569,0.182410342635446,0.207871973811981,0.0682759584218528,-0.0163571524378947,-0.170183520581984
"signal transduction by p53 class mediator (GO:0072331)",-0.0348660085431114,0.108228102566379,-0.175440096676626,0.0765302014883391,-0.0445404264643924,-0.0770146927135938,0.0628897291660064,0.19506548761594,-0.0596793900934126,-0.0650154508190126,-0.10434103299413,0.219723230231594
"regulation of mitotic metaphase/anaphase transition (GO:0030071)",0.22826983609156,0.179980852946998,-0.406651381157487,0.196503968154229,0.000894139683496942,0.0725824219217436,-0.228794905107525,0.213842741575136,0.0910414629079895,0.345372213541419,-0.538094549662451,0.278781799210105
"peptide hormone secretion (GO:0030072)",-0.00411925577698846,-0.491488187033374,0.463532353359504,-0.0173975580448288,0.00766317594785487,-0.679337125577444,0.589271867577605,0.0442403002418529,0.169267959423566,-0.410640939622703,0.423882311155411,-0.127878199012381
"insulin secretion (GO:0030073)",-0.296233664960533,-0.470973757408484,0.490539961835612,0.0960395923117663,0.00383932242421134,-0.675239475967847,0.569748884112568,0.190434461889236,0.172356754102873,-0.452344491854087,0.397283464606434,-0.148227986711717
