"","ConditionC...ConditionA","ConditionC...ConditionB","ConditionC...ConditionD","ConditionA...ConditionB","ConditionA...ConditionD","ConditionB...ConditionD","AveExpr","F","P.Value","adj.P.Val"
"acid secretion (GO:0046717)",0.32953642017942,1.11360220048623,0.857126440356147,0.784065780306812,0.527590020176727,-0.256475760130085,0.0258161677796262,95.9732020346609,5.75067350141907e-08,1.05283637016495e-05
"sequestering of actin monomers (GO:0042989)",0.354548325963352,1.36386607706899,1.037007791114,1.00931775110563,0.682459465150649,-0.326858285954986,0.0103969256685018,95.1943779062596,5.99421829208357e-08,1.05283637016495e-05
"cysteine metabolic process (GO:0006534)",-0.141347318929509,-1.15094545460404,-1.20854238021994,-1.00959813567453,-1.06719506129043,-0.0575969256159022,0.0025056872958635,94.9488246011383,6.0735341330245e-08,1.05283637016495e-05
"establishment of protein localization to Golgi (GO:0072600)",-0.0762432682922417,1.02748361723005,1.09873969222987,1.10372688552229,1.17498296052211,0.071256074999818,0.0149373139850227,94.3430245474971,6.27461050858686e-08,1.05283637016495e-05
"porphyrin-containing compound biosynthetic process (GO:0006779)",-0.195063445845102,-1.00924169150262,-0.944316316940717,-0.814178245657514,-0.749252871095615,0.0649253745618986,-0.00357306687629972,92.3290000708612,7.00243896971619e-08,1.13579560088797e-05
"ribosome biogenesis (GO:0042254)",-0.35391551134516,-0.896200041648712,-1.07570377495839,-0.542284530303552,-0.721788263613229,-0.179503733309677,0.00733209770156109,90.075850329476,7.93905120353114e-08,1.14706999508743e-05
"positive regulation of hemostasis (GO:1900048)",-0.77456108941219,-0.963474916616349,0.227987149695662,-0.188913827204159,1.00254823910785,1.19146206631201,-0.0202009884261863,89.9146058464363,8.01161807130271e-08,1.14706999508743e-05
"positive regulation of blood coagulation (GO:0030194)",-0.77456108941219,-0.963474916616349,0.227987149695662,-0.188913827204159,1.00254823910785,1.19146206631201,-0.0202009884261863,89.9146058464363,8.01161807130271e-08,1.14706999508743e-05
"porphyrin-containing compound metabolic process (GO:0006778)",-0.0925453316197157,-0.892594061388096,-0.768758883465782,-0.80004872976838,-0.676213551846066,0.123835177922314,-0.0148575331622644,89.8158078776753,8.0564710099906e-08,1.14706999508743e-05
"phagosome maturation (GO:0090382)",1.09899383147338,1.23554399917386,0.520506320452922,0.136550167700474,-0.57848751102046,-0.715037678720933,-0.0114034452151456,89.3956004707606,8.25060621209619e-08,1.14706999508743e-05
"oocyte development (GO:0048599)",-0.0897017862213764,-1.36678252971582,-0.926575326803123,-1.27708074349445,-0.836873540581746,0.440207202912701,-0.0471526879710449,88.4932301297507,8.68662329577968e-08,1.17414191547955e-05
"membrane assembly (GO:0071709)",0.337241463876041,1.02930880941978,1.23310961488695,0.692067345543735,0.895868151010904,0.203800805467169,-0.00782380192531487,86.730723578404,9.61993250141468e-08,1.26515112302389e-05
"actin nucleation (GO:0045010)",0.586807912771553,1.06331993508866,1.06941247725837,0.476512022317112,0.482604564486814,0.00609254216970206,-0.0269081125980753,84.9514028680824,1.06856168518924e-07,1.32691416494826e-05
"Arp2/3 complex-mediated actin nucleation (GO:0034314)",0.586807912771553,1.06331993508866,1.06941247725837,0.476512022317112,0.482604564486814,0.00609254216970206,-0.0269081125980753,84.9514028680824,1.06856168518924e-07,1.32691416494826e-05
"spliceosomal snRNP assembly (GO:0000387)",-0.838487059270127,-0.361978853963819,-0.963907755315563,0.476508205306309,-0.125420696045435,-0.601928901351744,0.0315278880185406,83.9417592679943,1.13526839418119e-07,1.32691416494826e-05
"uronic acid metabolic process (GO:0006063)",0.0848147379540481,1.04960374002776,1.18238029347067,0.964789002073714,1.09756555551662,0.132776553442905,0.0266010974576382,83.5826697407943,1.16017903107258e-07,1.32691416494826e-05
"glucuronate metabolic process (GO:0019585)",0.0848147379540481,1.04960374002776,1.18238029347067,0.964789002073714,1.09756555551662,0.132776553442905,0.0266010974576382,83.5826697407943,1.16017903107258e-07,1.32691416494826e-05
"positive regulation of T cell mediated cytotoxicity (GO:0001916)",-0.41856289646818,0.448118873245476,0.92569082403606,0.866681769713656,1.34425372050424,0.477571950790585,0.00970976770548688,83.1906227220782,1.18812179623541e-07,1.32691416494826e-05
"regulation of T cell mediated cytotoxicity (GO:0001914)",-0.380789451647775,0.593116535994746,0.922747753258829,0.973905987642521,1.3035372049066,0.329631217264083,-0.010702326925916,83.0294591153729,1.19984018203295e-07,1.32691416494826e-05
"synapsis (GO:0007129)",-0.559398809030186,-1.36492664777581,-1.31355518456662,-0.805527838745627,-0.754156375536438,0.0513714632091892,0.0353071786626453,82.4032568930937,1.24669591961678e-07,1.32836760228009e-05
"ncRNA processing (GO:0034470)",-0.263093098870724,-0.776672001599185,-0.882849964750864,-0.513578902728461,-0.61975686588014,-0.10617796315168,-0.000390680939287918,82.1948984286056,1.26276654681835e-07,1.32836760228009e-05
"regulation of regulated secretory pathway (GO:1903305)",0.587283662888977,0.948497302217968,0.984199521132785,0.36121363932899,0.396915858243807,0.0357022189148167,-0.0672878127472279,81.9363592738477,1.28305132156112e-07,1.32836760228009e-05
"long-chain fatty-acyl-CoA metabolic process (GO:0035336)",0.649226106176695,0.689294398035387,1.1531557370792,0.0400682918586915,0.503929630902503,0.463861339043812,-0.027975761392445,80.5297500756692,1.40045000237637e-07,1.41970618990904e-05
"tetrapyrrole biosynthetic process (GO:0033014)",-0.116208660580629,-0.949466357546105,-0.878554213877888,-0.833257696965476,-0.762345553297259,0.0709121436682166,0.00351595608381377,79.7534836042107,1.47070006910581e-07,1.41983558067311e-05
"positive regulation of actin filament polymerization (GO:0030838)",0.410144409509735,0.950710538018116,0.908221310685093,0.540566128508381,0.498076901175358,-0.042489227333023,-0.0205697516112518,79.6264537084113,1.48259099433131e-07,1.41983558067311e-05
