	log(HR)	log(HR) lower 95%	log(HR) upper 95%	pvalue	BH-corrected pvalue	prognostic association
SLCO1B3	0.02147136679414991	-0.10396435974043103	0.14690709332873084	0.7372514359709674	0.875993643828543	not prognostic
EPPK1	0.010299323130937637	-0.08393180697608153	0.1045304532379568	0.830374592460329	0.9226040861624877	not prognostic
PCK1	-0.09713968509774411	-0.22488615187336813	0.030606781677879932	0.13612536625804103	0.373042670372893	not prognostic
S100A1	-0.036047438872660806	-0.14877194988325354	0.07667707213793191	0.5308138487771927	0.7495861810886761	not prognostic
ALDH8A1	-0.18957522203896993	-0.3300756861042151	-0.049074757973724764	0.008179943935944345	0.0789170668733941	not prognostic
EPS8L3	0.09581141270607137	-0.010034558404026533	0.20165738381616927	0.07603789131034783	0.26907796083064983	not prognostic
HLA-DRB4	0.04525591457935205	-0.030812275583250892	0.12132410474195499	0.2435907784055577	0.5111010637602433	not prognostic
EPX	0.09206876112564108	-0.041502121676124853	0.225639643927407	0.17670216404082267	0.4302459816854733	not prognostic
ALDH3A1	-0.015132088025168416	-0.08723160773250707	0.05696743168217024	0.6808137748493038	0.8478683719885682	not prognostic
ALDH1A2	0.02790562367127916	-0.05545721876454633	0.11126846610710465	0.5117624359730235	0.7379302768990949	not prognostic
HLA-DRB3	-0.08005914422898215	-0.17298101308695807	0.012862724628993766	0.09128543841681262	0.2979506125212262	not prognostic
HLA-DRB1	-0.0070061613964701565	-0.08911681803147004	0.07510449523852972	0.8671846829213126	0.9408512440856169	not prognostic
DEFA3	0.1064759762050289	0.03040383855097885	0.18254811385907893	0.006082415434301016	0.06747938709206568	not prognostic
HLA-DRB5	0.01132308188293012	-0.06776764887107241	0.09041381263693264	0.7790174717394337	0.8961253275707504	not prognostic
PGAM2	0.04035123846251335	-0.01854654187317719	0.09924901879820389	0.17934205194857059	0.43395929489068985	not prognostic
HAO2	-0.14211276558072566	-0.274202175577854	-0.010023355583597349	0.03497116265468864	0.17269543256890643	not prognostic
CYP8B1	-0.24585722140935293	-0.3764385752755865	-0.11527586754311936	0.0002240778951281185	0.014329781393443177	favorable
PLIN2	0.015133399273715856	-0.06758947615658616	0.09785627470401788	0.71992605377653	0.8687825797899006	not prognostic
UGT2B10	-0.17694740944643503	-0.32761227356667155	-0.026282545326198503	0.021342647177135503	0.1333431403886212	not prognostic
UGT2B15	-0.21250074318042214	-0.3510188251015801	-0.07398266125926414	0.002640282313507618	0.045025614386349916	favorable
ADIRF	-0.037444580268543345	-0.13628831409089748	0.06139915355381079	0.4577932974888601	0.7009788596575619	not prognostic
LTBP2	0.007733623514953659	-0.09337831867911872	0.10884556570902604	0.8808361502376796	0.9470548880842975	not prognostic
ADH6	-0.16431905235471672	-0.31746294315516477	-0.011175161554268676	0.035467012574575546	0.17380195050912692	not prognostic
SFN	0.10126434941011572	-0.0013880504487950585	0.2039167492690265	0.05317935376200229	0.22227579562614683	not prognostic
ADH4	-0.10496985838382877	-0.21409390349238497	0.004154186724727421	0.0593824471474493	0.23597472228633537	not prognostic
ASPN	0.015825247755860118	-0.06575331102694437	0.09740380653866462	0.7037901571467451	0.8606793166145074	not prognostic
ADH1C	-0.17280964134837282	-0.3171929637819835	-0.02842631891476216	0.018984078558753153	0.1239711563358986	not prognostic
ADH1A	-0.23296193070007765	-0.36572692512041605	-0.10019693627973927	0.000583572001909123	0.021152713089442825	favorable
UGT2B7	-0.20668825512088265	-0.3583018819540915	-0.055074628287673816	0.007541558110791092	0.07535666268517037	not prognostic
FABP5	0.1960095130981202	0.03489917246618651	0.3571198537300539	0.017101200065254642	0.1174133774418902	not prognostic
FADS2	0.09064793516984955	-0.006521076601112688	0.1878169469408118	0.06748511644143572	0.25248401483500793	not prognostic
POLR3D	0.05682489957353708	-0.0536304790413787	0.16728027818845287	0.3132991734793974	0.5853438022038908	not prognostic
SERPINE1	0.2586247107309747	0.1566762102221883	0.3605732112397611	6.624165087569153e-07	0.0029653075014503313	unfavorable
UGT3A1	-0.13246459697722357	-0.23602395084282715	-0.028905243111619988	0.012175226577358646	0.09784991341749727	not prognostic
POSTN	0.05007501732887619	-0.008752255592980616	0.108902290250733	0.09524373930342825	0.30497753862074145	not prognostic
ADH1B	-0.21616881651523348	-0.36218881749040677	-0.07014881554006017	0.003713315722719722	0.0533632675208823	not prognostic
SMIM24	0.002013364970092889	-0.15435715206279804	0.1583838820029838	0.9798669443317577	0.9925046671119161	not prognostic
GSTA2	-0.04807346311741794	-0.1247350763288346	0.028588150093998725	0.21904669956439524	0.4825603103346532	not prognostic
ASNS	0.05307254734638764	-0.03158549129991488	0.13773058599269017	0.21918010053611092	0.48273540961864725	not prognostic
BPI	0.08715654543990825	-0.011081541073476128	0.18539463195329264	0.0820568646679445	0.27944279550099166	not prognostic
UGT1A1	-0.07963471017863424	-0.1981401983549071	0.03887077799763859	0.18781193603909602	0.44542523532662953	not prognostic
AGR2	0.07929360539592453	0.023367250270802005	0.13521996052104707	0.005454672852103035	0.06383749809788035	not prognostic
UGT1A4	-0.17804759326785857	-0.29884559360951324	-0.05724959292620389	0.003866578741332448	0.05400542819212076	not prognostic
PIGR	-0.04505911475905323	-0.13176264586209624	0.04164441634398978	0.30840372123545257	0.582272989502532	not prognostic
GYS2	-0.16179629750168018	-0.32881796733597	0.005225372332609696	0.05761112214554643	0.2312970298516041	not prognostic
SLC22A1	-0.22811519322319843	-0.3853528331105991	-0.07087755333579773	0.0044627836537936725	0.05782243422925434	not prognostic
CPLX2	0.028207619092637658	-0.08602072698901767	0.142435965174293	0.6283896092766281	0.8161863008637243	not prognostic
GSTM1	-0.022847628167668183	-0.07884935116403205	0.03315409482869568	0.423926539980651	0.6736624622731218	not prognostic
GSTZ1	-0.28754523963797046	-0.48340932283440874	-0.09168115644153216	0.004009734583949548	0.05565760268232605	not prognostic
GSTT2B;GSTT2	-0.07711374227074802	-0.17180424725134524	0.017576762709849217	0.1104555244915586	0.3320712930735138	not prognostic
GSTT1	0.06254444620209688	-0.05435311233603628	0.17944200474023003	0.294338300106718	0.5683007981141787	not prognostic
PLA2G2A	-0.01731525000901955	-0.08779312256236994	0.05316262254433084	0.6301392943910749	0.8171548526482174	not prognostic
UGT1A7	-0.06003344403922159	-0.15627861798814435	0.03621172990970116	0.22150422041339857	0.48606060915714644	not prognostic
ASH1L	0.019034667284784205	-0.08821817378832211	0.12628750835789052	0.7279573077965492	0.8724768108035482	not prognostic
GSTM4	-0.05142599411456545	-0.15172877980408953	0.04887679157495863	0.31495063628262	0.5873261917596952	not prognostic
AFP	0.09844294721660281	0.041427856084634195	0.15545803834857141	0.0007141262203245678	0.023165116125238604	unfavorable
GYG2	-0.006637957849668442	-0.20163593608627042	0.18836002038693353	0.9468050480849428	0.9796308327174961	not prognostic
EPCAM	0.010632609053407379	-0.062331799780487515	0.08359701788730227	0.7751751007848635	0.8949249100357038	not prognostic
TTC36	-0.21858428982531855	-0.3926586999662791	-0.04450987968435799	0.013850553267286032	0.10464472860929269	not prognostic
LCN2	0.09213369359969338	0.013737250550173954	0.1705301366492128	0.021256093715432977	0.1329879853488969	not prognostic
CYP2A6	-0.09111044342703059	-0.18162943884779703	-0.0005914480062641503	0.04852173589369325	0.21139420995437258	not prognostic
NQO1	0.019500805834218354	-0.03270834045587921	0.07170995212431593	0.46412435445660305	0.7042890416016893	not prognostic
DAK	-0.13150074814023885	-0.2602825599697851	-0.0027189363106926157	0.045355311129043244	0.20293158447692364	not prognostic
CA14	-0.10420210871259311	-0.2449948775195457	0.03659066009435949	0.14689446188779565	0.38852174808905005	not prognostic
TMSB4X	0.015668037417059074	-0.08492010645431038	0.11625618128842853	0.7601435152895881	0.8867185527540954	not prognostic
UGT2B17	0.06607993776773122	-0.001598761294569942	0.13375863683003236	0.0556630863231398	0.2280785408929385	not prognostic
CYP1A2	-0.02429374745145461	-0.16618652452232532	0.11759902961941611	0.7371956237952975	0.8761598858143234	not prognostic
CYP17A1	-0.04500504522014916	-0.13441351045057734	0.044403420010279006	0.32385042123354585	0.5969596090804892	not prognostic
TAT	-0.14738591834859607	-0.2768260007403126	-0.01794583595687957	0.025634971019163663	0.1465580431255251	not prognostic
AIF1L	-0.012557510563645461	-0.112348641359669	0.08723362023237809	0.8051885208847176	0.9113593966473927	not prognostic
SULT1E1	0.03706978895751437	-0.0694657944923272	0.14360537240735594	0.49524973329471966	0.7264041386283789	not prognostic
SULT1C2	0.0861927708703787	-0.0004368611623176283	0.17282240290307505	0.05116656565116415	0.21803629808418495	not prognostic
CAMK2B	0.011709292324574721	-0.12342524263223102	0.14684382728138046	0.8651444547855934	0.9400046485067255	not prognostic
NNMT	0.002923786359200526	-0.0784543470901607	0.08430191980856176	0.9438606659821387	0.9777142823716404	not prognostic
IGHV1-24	0.04463903581251167	-0.11175778445124593	0.20103585607626925	0.5758777618780924	0.7840379565228955	not prognostic
SULT1A2	-0.19717290464626538	-0.35528147310691427	-0.03906433618561647	0.014516656232636413	0.10732256255226573	not prognostic
CXCL12	0.11875116267903207	-0.08000298812746659	0.31750531348553074	0.24158484045145562	0.509039556733792	not prognostic
CAMP	0.1080067382074552	0.030059273243147847	0.18595420317176253	0.006611689132814226	0.06996980237125977	not prognostic
ANKRD36C	-0.07198505955658571	-0.16573101305980287	0.021760893946631457	0.1323228038650465	0.36814358701173444	not prognostic
OAT	0.02147625202414342	-0.06458817656086578	0.10754068060915263	0.6247826767948121	0.8139812726053482	not prognostic
IL32	-0.04277880409257126	-0.11878259795666982	0.0332249897715273	0.2699544318410919	0.5431240512973698	not prognostic
CYP2C8	-0.1789137486565215	-0.34243030280796777	-0.015397194505075207	0.03199125299264631	0.16451331880710074	not prognostic
TKTL1	0.0286143841304403	-0.054461216513688085	0.11168998477456869	0.4996212241362298	0.7286380224290057	not prognostic
AQP9	-0.184365753577741	-0.3029223293010642	-0.06580917785441774	0.0023043592907620487	0.04142756773131049	favorable
JTB	0.23036121323424846	0.03076935031307193	0.429953076155425	0.023690319385843744	0.14121133785716317	not prognostic
KBTBD7	-0.016441309841615324	-0.11844014931074236	0.08555752962751172	0.7520565201811736	0.8837330391366384	not prognostic
TM4SF4	-0.005218424467674047	-0.11282090546177324	0.10238405652642514	0.9242728374105893	0.9694253413000241	not prognostic
THBS2	0.028874763163330337	-0.04646610386387558	0.10421563019053624	0.45255277424008444	0.6960496457260739	not prognostic
CYP2C19	0.05877726831490652	-0.07461737941591196	0.19217191604572498	0.3878006146805506	0.646310294719838	not prognostic
THBS1	0.04373072876676722	-0.05625226551931007	0.14371372305284452	0.391305455299766	0.6491305801924783	not prognostic
INMT	0.09838369459825458	0.002811067751244789	0.19395632144526437	0.04363166510006342	0.19788971511695433	not prognostic
CYP3A5	-0.0711314337459237	-0.16861486906090883	0.026352001569061437	0.15267658240452778	0.39689705060038827	not prognostic
TFRC	0.1963164756363093	0.04125093445639269	0.35138201681622594	0.013088260894771171	0.10198363776404377	not prognostic
CYP3A4	0.013322650287457603	-0.08203938703363457	0.10868468760854978	0.7842239065670394	0.8995716381159135	not prognostic
TFPI	0.06078378829268253	-0.060656509313449215	0.18222408589881428	0.326588258753723	0.598066001354486	not prognostic
CYP39A1	0.041132564324294345	-0.11763347278002281	0.19989860142861152	0.6116070790856929	0.8051342712916054	not prognostic
CYP2E1	-0.05084997697987792	-0.1465289555152126	0.04482900155545677	0.29757341834696205	0.5709761711230928	not prognostic
CYP2C9	-0.1200076280915618	-0.24634918762891683	0.006333931445793237	0.0626447773866233	0.24216696543283178	not prognostic
APOC3	-0.16449835247513386	-0.25431217967267544	-0.07468452527759227	0.0003309717837846617	0.017128268093780787	favorable
LTF	0.13445335835813857	0.05054864402860147	0.21835807268767565	0.0016851575552840887	0.03500514058575045	unfavorable
DCN	0.0227379785261928	-0.08387833633121218	0.12935429338359777	0.6759471214622286	0.8461625529154548	not prognostic
STMN2	0.2638686658413961	0.10380117864827729	0.42393615303451493	0.0012337133929760404	0.029612428974033482	unfavorable
SPP1	0.14254981943480102	0.05178968589860179	0.23330995297100027	0.0020814216879216107	0.039314279265743	unfavorable
HSD17B13	0.03290268499289384	-0.06478259508408046	0.13058796506986814	0.5091500870994898	0.7368931021341307	not prognostic
ENO3	-0.02263394941010066	-0.14045647914062623	0.09518858032042492	0.7065354799533032	0.8620349076072396	not prognostic
SPINK1	0.008417368854863999	-0.06657082487012325	0.08340556257985124	0.8258676528366375	0.9196508825679621	not prognostic
PAGE2;PAGE2B	0.004771939702673742	-0.059556581129616995	0.06910046053496448	0.8844016548908937	0.9486100414805525	not prognostic
NAT2	-0.12368993078316701	-0.27721749142921653	0.02983762986288252	0.11432441720468185	0.3397100920124516	not prognostic
HRSP12	-0.2178480452921713	-0.3341326138123942	-0.10156347677194842	0.0002408429151424228	0.014974073744931328	favorable
PAGE4	-0.054947096637131314	-0.1193312353420172	0.00943704206775458	0.09438948456130986	0.30332701194451084	not prognostic
ANGPTL6	0.10287998166426987	-0.10928636339668235	0.3150463267252221	0.3419134383127643	0.610155673353434	not prognostic
PAGE5	-0.04103524046665766	-0.10729555223407529	0.025225071300759974	0.2248193392006181	0.4890202973428411	not prognostic
HPD	-0.1723447258262245	-0.29045830007632123	-0.05423115157612776	0.004238148390741341	0.05705886096587553	not prognostic
PAH	-0.1617640513549821	-0.3263705270057179	0.002842424295753737	0.054089475482887533	0.22409212123937625	not prognostic
DDX3Y	-0.05096871541802757	-0.14396901057484085	0.0420315797387857	0.2827526655006051	0.5550284179405651	not prognostic
CTH	-0.2077080153466249	-0.36544920252735275	-0.04996682816589704	0.00985684594772462	0.08860275278110294	not prognostic
HOGA1	-0.09743720931193335	-0.22519868854354697	0.030324269919680277	0.13497571522652085	0.37125578446176377	not prognostic
TTC25	-0.00026862876762577455	-0.1250228336258902	0.12448557609063865	0.9966326815454625	0.9983052582095016	not prognostic
TRIP13	0.3382339900991789	0.18763129211265406	0.4888366880857038	1.0734505096596861e-05	0.010678447125536854	unfavorable
HPGD	-0.011383424949896649	-0.09239081899072657	0.06962396909093327	0.7829931397238531	0.8986203794318237	not prognostic
TOP2A	0.23780864755030062	0.11769846137666225	0.357918833723939	0.00010421052104191065	0.010976432881037954	unfavorable
HSD17B6	-0.25749934067185676	-0.38940208207643373	-0.12559659926727978	0.00013012389636333734	0.012263149938325887	favorable
AFF2	-0.05965851383286675	-0.22055899756057323	0.10124196989483975	0.46740153955576047	0.7063885860301694	not prognostic
NEB	0.008099966958732994	-0.04947432849568795	0.06567426241315394	0.7827463392572995	0.8984523045346926	not prognostic
STEAP4	-0.16856059091087636	-0.38360828727571566	0.04648710545396295	0.12447062034853108	0.3538855077740231	not prognostic
OGN	0.0006184234679025325	-0.10458267548496838	0.10581952242077344	0.9908072758296437	0.9964836599082004	not prognostic
ELANE	0.1206548093701667	0.03284599481316476	0.20846362392716866	0.007078822198297811	0.0725964434608938	not prognostic
OLFM4	0.11090797397379744	0.02273867231362335	0.19907727563397154	0.013684720824020892	0.1041830829400162	not prognostic
IGF2BP3	0.08422909454358952	0.012781071167061342	0.1556771179201177	0.020856360691437367	0.13177628600595537	not prognostic
OLFML1	0.07264974708488475	-0.06445726148920203	0.20975675565897153	0.2990194861904689	0.5727688189694626	not prognostic
CBFA2T3	0.0274884986928208	-0.12692669731868053	0.18190369470432213	0.7271594962404625	0.8718707606590144	not prognostic
BRIP1	0.0142974687622645	-0.03739292027128871	0.06598785779581771	0.5877341074355268	0.7912757088526724	not prognostic
IGF2BP1	0.06210600130787165	0.0013006298347950362	0.12291137278094827	0.04529680986463379	0.2028726056618641	not prognostic
STAB2	-0.01722591443709555	-0.21642440806296626	0.18197257918877519	0.8654111615558894	0.9401803336257587	not prognostic
L1RE1	0.1016335398125961	-0.00729146580216225	0.21055854542735444	0.0674350407768385	0.2525077039209683	not prognostic
SRP9	0.0804555771633389	-0.10031124081141299	0.26122239513809076	0.38302320098921794	0.6425345172299922	not prognostic
SRD5A2	0.08058527353795424	-0.05852313446489581	0.21969368154080426	0.2562061117651343	0.5256217503742546	not prognostic
ANKRD12	-0.053584170764347024	-0.1203052980847446	0.013136956556050551	0.11547362333986477	0.34176375198737496	not prognostic
ARID3A	0.10020291327406998	0.01248515451004581	0.18792067203809415	0.025160337947880026	0.14486206150956263	not prognostic
SQSTM1	0.0185673593800701	-0.07674297928992704	0.11387769805006723	0.7025951773350294	0.8598051698579167	not prognostic
IGF2BP2	0.15164767557076023	0.05754479719717233	0.24575055394434814	0.0015858307164606138	0.03429454687070501	unfavorable
UROC1	-0.12570303533559093	-0.25901569827386006	0.007609627602678193	0.06458973347986315	0.2465978182708805	not prognostic
EEF1A2	0.02507690950535347	-0.023310665669650343	0.07346448468035728	0.30974687651434807	0.5829648487351184	not prognostic
CNGA3	0.06705741695368687	-0.07296463489220394	0.20707946879957767	0.3479162563160665	0.6152269885043933	not prognostic
VNN1	0.02738995336556896	-0.045263747087683034	0.10004365381882095	0.45997187759572244	0.7026323528603485	not prognostic
GLRX	-0.0017597820613546274	-0.1080394598305295	0.10451989570782023	0.9741106836951541	0.9900343910912379	not prognostic
BBOX1	-0.02716497454995325	-0.1315379924714238	0.07720804337151732	0.6099700263442063	0.805110076051847	not prognostic
PYCR1	0.05245330826353152	-0.021605852555078978	0.12651246908214203	0.16508573816972372	0.41528873667702626	not prognostic
BGN	0.04017715830240133	-0.04779459498445314	0.1281489115892558	0.37071986041001304	0.6334074256203905	not prognostic
CGREF1	0.016064033872646932	-0.09044785539644883	0.12257592314174269	0.7675354777679059	0.8912769302796447	not prognostic
CLEC4G	0.04117328161081661	-0.15328777610041977	0.23563433932205297	0.6781539114746977	0.8472665321564288	not prognostic
SACS	-0.08974313183730082	-0.18926850139060294	0.009782237716001313	0.07717443336912913	0.2702161525044244	not prognostic
PRODH	-0.03277883394052827	-0.11820501859553528	0.052647350714478756	0.4520169656309946	0.6958232278704082	not prognostic
GLS2	-0.06526407150534282	-0.18753089950639146	0.057002756495705825	0.29546993299978175	0.5696258204451004	not prognostic
MBL2	-0.02752336882173888	-0.1529812285007808	0.09793449085730303	0.6672076320900927	0.8393297639598988	not prognostic
CLEC4M	0.13841745743218783	0.004312204641628015	0.27252271022274765	0.04307445064654349	0.19655736831728027	not prognostic
MAPK8IP3	0.03374123669497197	-0.030819285147813145	0.09830175853775708	0.30567702372864536	0.5793239613553264	not prognostic
CYP2A7	-0.053722053432316764	-0.14034204257071822	0.0328979357060847	0.22414599730271736	0.48862408421018466	not prognostic
GLUL	-0.01778672060163014	-0.07973638432424579	0.044162943120985516	0.5736143825719717	0.7821458372170063	not prognostic
XPNPEP2	0.02053573206040996	-0.051709993829369666	0.09278145795018958	0.5774477470298113	0.7845052623911837	not prognostic
CLGN	0.11148571179107285	-0.005157637652926872	0.22812906123507257	0.06102697771081843	0.2394279278899901	not prognostic
PRPH	0.11427383527394867	-0.03636385617456035	0.2649115267224577	0.13705978129127197	0.37400067720230357	not prognostic
MT1H	-0.059569365037024084	-0.12844036232746786	0.009301632253419699	0.09002731192845936	0.2953516026733224	not prognostic
GLYAT	-0.23008047904042636	-0.3803197214666606	-0.07984123661419215	0.0026861565084262645	0.045290318681620235	favorable
FLNC	0.03744976858322243	-0.03697352948708401	0.11187306665352886	0.3240089991605222	0.5968832447498262	not prognostic
GLYATL1	-0.269615404944618	-0.4145413030868116	-0.12468950680242441	0.00026609205691752056	0.015882147903883745	favorable
CFHR3	-0.04683179700154088	-0.16320314308713088	0.06953954908404911	0.4302544397545979	0.678658914574157	not prognostic
RPL22L1	-0.03707377778607073	-0.13167509823963144	0.057527542667489974	0.4424278083754908	0.6881612523255332	not prognostic
MCM2	0.23454948357687183	0.08929386161449915	0.3798051055392445	0.0015517655807429085	0.03421910651327896	unfavorable
MFAP4	0.058611744698187064	-0.05525024069557418	0.1724737300919483	0.31301605920303294	0.5853034206442678	not prognostic
PRELP	0.014526488279964413	-0.06838294019778493	0.09743591675771376	0.7312948730448674	0.874136581891949	not prognostic
GLDC	-0.0015311041457758453	-0.1302872583397857	0.127225050048234	0.9814054543492984	0.9931641271379302	not prognostic
SCD	0.05986179599145075	-0.02524457160304655	0.14496816358594805	0.16802056029918802	0.418555391307354	not prognostic
RPS4Y1	-0.00013041409710609828	-0.09622889984956912	0.09596807165535692	0.9978777544336549	0.9986585664480788	not prognostic
AADAT	-0.14470663846442133	-0.3016924253076855	0.012279148378842808	0.07081544916247241	0.2587798842251492	not prognostic
S100A12	0.11767953303766292	0.040176153919041294	0.19518291215628453	0.002920644718977415	0.04728486829838119	unfavorable
CHI3L1	0.10454760254565118	0.03465482175920266	0.1744403833320997	0.003370365987541977	0.0508851377512029	not prognostic
BCO2	-0.1440687705304621	-0.33119611842018487	0.043058577359260664	0.13130638477477197	0.36668311381426494	not prognostic
MT1M	-0.19104250438038872	-0.3034999572138139	-0.07858505154696356	0.0008697612323418415	0.025364730661747582	favorable
S100A14	-0.013139762715770527	-0.09979611099050956	0.0735165855589685	0.7663209138307433	0.8905595978097929	not prognostic
MARCO	0.1271112345233597	-0.02201400918332208	0.2762364782300415	0.09479433801371774	0.3039733912022976	not prognostic
MT1F	-0.10103874434360688	-0.21293292185389256	0.010855433166678807	0.07675750825703624	0.2698115317727701	not prognostic
RDH5	-0.11126866378921632	-0.3145689404574476	0.09203161287901496	0.28340051518563825	0.5556909357111299	not prognostic
BDH2	-0.15456688465937538	-0.3094036805739178	0.0002699112551670657	0.05040070693859898	0.21579987050276264	not prognostic
ZBTB18	0.16638776822001425	0.02139559471830413	0.31137994172172434	0.024500811114386338	0.14336977902424894	not prognostic
PRG3	0.09795329260844086	-0.035526585991002876	0.2314331712078846	0.1503472174843814	0.39289510745407663	not prognostic
GGH	0.024023314222541507	-0.08218433688929297	0.13023096533437598	0.6575284710848621	0.8326523906114244	not prognostic
MB	-0.11846055723186816	-0.31365887937037007	0.07673776490663375	0.23426307559959336	0.5000851969106246	not prognostic
MT2A	-0.05242637492838239	-0.1168906362375679	0.01203788638080313	0.11094376863400006	0.33231166295757864	not prognostic
S100A8	0.11513912651265566	0.03484794940403323	0.1954303036212781	0.004944508809433958	0.06089159198192878	not prognostic
RDH16	-0.17661720763458508	-0.31345035592070447	-0.039784059348465683	0.011412074507036348	0.09513249819506184	not prognostic
MCM7	0.23681770451352704	0.08947706450982792	0.3841583445172262	0.0016315233060885128	0.03436947802214225	unfavorable
FCN2	0.04479462835752887	-0.12468196538702442	0.21427122210208216	0.60442952285343	0.8034829277070169	not prognostic
GCK	-0.06769369550912026	-0.1677485268872022	0.03236113586896171	0.18482480451965638	0.44220643368906565	not prognostic
MDK	0.05714820532195658	-0.026148365738879603	0.14044477638279276	0.17872397652972893	0.43304892066865036	not prognostic
CHCHD10	0.008125689530912285	-0.08115698643097091	0.09740836549279547	0.8584261814625295	0.936455416429149	not prognostic
FTH1	-0.060463726327150615	-0.18563131447642922	0.064703861822128	0.3437486276358148	0.6118452213167893	not prognostic
S100P	0.07300850621450172	0.012515705146934446	0.133501307282069	0.0180070923259921	0.12058152400494186	not prognostic
SAA1	-0.051917624227499085	-0.13044042387186866	0.026605175416870505	0.19501442573094896	0.4531440834594306	not prognostic
GPT	-0.2083572538304576	-0.38457840041786007	-0.032136107243055156	0.02048262305072617	0.13061319385552095	not prognostic
COCH	0.003191234730631633	-0.08538658125067496	0.09176905071193824	0.9437061247817047	0.9777804577213982	not prognostic
ACMSD	-0.08936025285237317	-0.23658662238897288	0.05786611668422653	0.23419726769263782	0.5000639488796057	not prognostic
BHMT2	-0.27140184135721057	-0.4114263808591982	-0.13137730185522295	0.0001453455304259481	0.012883945880232806	favorable
DNAJB9	-0.07079722919616556	-0.1659514469355169	0.024356988543185756	0.1447676464438759	0.3851722848772722	not prognostic
PVALB	0.025054630473705156	-0.1431086120035432	0.1932178729509535	0.7702752274249587	0.8924905022823418	not prognostic
VIL1	0.10341788403365944	0.009915625289212748	0.19692014277810613	0.030172985686742263	0.15984540878899617	not prognostic
FBN1	-0.0727463459839543	-0.18371376891139257	0.03822107694348398	0.1988329743945985	0.45844749414237457	not prognostic
ACSL4	0.061318054461053755	-0.020537917375247787	0.1431740262973553	0.14204910644848948	0.3809963001897323	not prognostic
G6PD	0.22754732342821965	0.11001340951293415	0.34508123734350515	0.00014793051621009946	0.012734826073355967	unfavorable
VCAN	0.04754022620544657	-0.03605897848203829	0.13113943089293142	0.26503490844414196	0.5373318694067941	not prognostic
DES	0.12955474479886125	-0.00919205148563032	0.2683015410833528	0.06723270049992834	0.25238338263138715	not prognostic
COL6A6	0.14793088311053554	-0.060606683795312255	0.35646845001638333	0.16442408152938015	0.4144394149584855	not prognostic
